State,Year,Season,Produce,Temperature,Rainfall
Andaman and Nicobar Islands,2000,Whole Year,10.337349397590362,26.98,2763.2
Andaman and Nicobar Islands,2001,Whole Year,0.34234234234234234,27.08,3080.9
Andaman and Nicobar Islands,2005,Whole Year,5.309704321455648,27.32,2954.7
Andaman and Nicobar Islands,2006,Whole Year,6.9642857142857135,27.14,2404.7
Andaman and Nicobar Islands,2010,Rabi,5.662576687116564,27.81,1027.8
Andhra Pradesh,2000,Whole Year,13.10780460415497,27.69,992.3
Andhra Pradesh,2001,Whole Year,13.269441401971523,27.97,1009.3
Andhra Pradesh,2002,Whole Year,10.38599348534202,28.05,703.2
Andhra Pradesh,2003,Whole Year,7.229374433363554,28.06,1096.8
Andhra Pradesh,2004,Whole Year,6.502830188679245,27.68,873.6
Andhra Pradesh,2005,Whole Year,7.9905462184873945,27.82,1221.6
Andhra Pradesh,2006,Whole Year,8.57193396226415,27.92,1159.6
Andhra Pradesh,2008,Whole Year,11.966952264381884,27.89,1107.5
Andhra Pradesh,2009,Whole Year,8.545098039215686,28.43,790.5
Andhra Pradesh,2010,Whole Year,13.01953125,28.25,1712.4
Andhra Pradesh,2011,Whole Year,12.9511653718091,27.81,861.9
Andhra Pradesh,2012,Kharif,10.236641221374045,28.06,785.0
Andhra Pradesh,2012,Rabi,9.626153846153846,28.06,470.0
Andhra Pradesh,2013,Kharif,9.764705882352942,27.78,545.0
Andhra Pradesh,2013,Rabi,9.819805194805195,27.78,499.29999999999995
Andhra Pradesh,2013,Whole Year,10.021628498727736,27.78,1120.5
Andhra Pradesh,2014,Rabi,11.020771513353116,28.02,236.29999999999998
Assam,1997,Whole Year,3.4773987206823027,22.54,2372.2
Assam,1998,Whole Year,3.4386727446199514,23.5,2803.1
Assam,1999,Whole Year,3.4594081518704636,23.77,2594.2
Assam,2000,Whole Year,3.4659129838985954,22.85,2487.0
Assam,2001,Whole Year,3.435814455231931,23.56,2178.4
Assam,2002,Whole Year,3.4526264709450443,23.33,2392.7
Assam,2003,Whole Year,3.463998047351721,23.33,2434.1
Assam,2004,Whole Year,3.4923997009718417,23.27,2994.3
Assam,2005,Whole Year,3.557298115284083,23.6,2468.3
Assam,2006,Whole Year,3.5062869822485205,23.92,1898.6
Assam,2007,Whole Year,3.5127204394333624,23.72,2752.8
Assam,2008,Whole Year,3.524928999684443,23.45,2339.7
Assam,2009,Whole Year,3.5217455186600057,24.21,2068.2
Assam,2010,Whole Year,3.4558680892337534,24.05,2711.5
Assam,2011,Rabi,3.9293992070753276,23.53,177.1
Assam,2012,Rabi,4.13493707184961,23.05,269.7
Assam,2013,Rabi,5.046807806814423,23.14,184.0
Assam,2014,Rabi,5.288588443586029,23.52,98.1
Bihar,1997,Whole Year,13.187244582043343,24.85,1303.7
Bihar,1998,Whole Year,10.810014562563012,25.86,1332.5
Bihar,1999,Whole Year,13.634045485871813,25.88,1402.7
Bihar,2000,Whole Year,12.119584747454581,25.38,1207.0
Bihar,2001,Whole Year,11.439269223047582,25.73,1247.0
Bihar,2002,Whole Year,13.3544,25.79,1105.8
Bihar,2003,Whole Year,14.049219951658976,25.69,1353.9
Bihar,2004,Whole Year,15.036924515073615,25.79,1147.8
Bihar,2005,Whole Year,15.555606095064817,25.82,907.8
Bihar,2007,Whole Year,13.271585137663726,25.95,1600.2
Bihar,2008,Kharif,13.565038982355356,25.67,1083.5
Bihar,2008,Rabi,14.708459214501511,25.67,54.800000000000004
Chhattisgarh,2000,Whole Year,5.877700348432056,26.08,906.3
Chhattisgarh,2001,Whole Year,5.828892589508743,26.21,1600.1
