State,District,Year,Season,Produce,Temperature,Rainfall
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi,1.7669753086419753,27.81,880.2
Andhra Pradesh,ANANTAPUR,2008,Whole Year,0.7138461538461538,27.89,867.1000000000001
Andhra Pradesh,ANANTAPUR,2009,Whole Year,0.4747191011235955,28.43,585.3
Andhra Pradesh,ANANTAPUR,2010,Whole Year,0.4449877750611247,28.25,853.8000000000001
Andhra Pradesh,ANANTAPUR,2011,Whole Year,0.49353049907578556,27.81,508.80000000000007
Andhra Pradesh,ANANTAPUR,2012,Kharif,0.5412186379928315,28.06,292.0
Andhra Pradesh,ANANTAPUR,2013,Kharif,0.4105960264900662,27.78,351.0
Andhra Pradesh,EAST GODAVARI,2008,Whole Year,0.95,27.89,1123.5
Andhra Pradesh,EAST GODAVARI,2009,Whole Year,0.95,28.43,607.6999999999999
Andhra Pradesh,EAST GODAVARI,2011,Whole Year,0.4,27.81,854.6
Andhra Pradesh,EAST GODAVARI,2012,Kharif,2.8181818181818183,28.06,934.1
Andhra Pradesh,EAST GODAVARI,2013,Kharif,3.0,27.78,472.69999999999993
Andhra Pradesh,KRISHNA,2010,Whole Year,0.4444444444444444,28.25,2809.5000000000005
Andhra Pradesh,VIZIANAGARAM,2008,Whole Year,1.0,27.89,1069.3
Andhra Pradesh,VIZIANAGARAM,2009,Whole Year,1.0,28.43,1032.3999999999999
Andhra Pradesh,VIZIANAGARAM,2011,Whole Year,0.0,27.81,1017.6000000000001
Andhra Pradesh,VIZIANAGARAM,2012,Kharif,1.0,28.06,752.9000000000001
Andhra Pradesh,WEST GODAVARI,2008,Whole Year,1.0,27.89,1234.1000000000001
Andhra Pradesh,WEST GODAVARI,2009,Whole Year,1.0,28.43,753.1
Andhra Pradesh,WEST GODAVARI,2010,Whole Year,0.45,28.25,1900.7
Assam,BAKSA,2011,Rabi,0.9080769230769231,23.53,0.0
Assam,BAKSA,2012,Rabi,0.8144,23.05,236.1
Assam,BAKSA,2013,Rabi,0.6784905660377358,23.14,146.70000000000002
Assam,BARPETA,2008,Whole Year,0.7330016583747927,23.45,2800.8
