State,District,Year,Season,Produce,Temperature,Rainfall
Andhra Pradesh,ANANTAPUR,2008,Kharif,1.360699865410498,27.89,487.59999999999997
Andhra Pradesh,ANANTAPUR,2008,Rabi,1.3461538461538463,27.89,316.5
Andhra Pradesh,ANANTAPUR,2009,Kharif,1.8391405342624856,28.43,364.99999999999994
Andhra Pradesh,ANANTAPUR,2009,Rabi,1.8444444444444446,28.43,136.5
Andhra Pradesh,ANANTAPUR,2010,Kharif,0.7288557213930348,28.25,431.70000000000005
Andhra Pradesh,ANANTAPUR,2010,Rabi,0.8,28.25,268.8
Andhra Pradesh,ANANTAPUR,2011,Kharif,1.2651109410864576,27.81,286.4
Andhra Pradesh,ANANTAPUR,2011,Rabi,1.2672413793103448,27.81,111.39999999999999
Andhra Pradesh,ANANTAPUR,2012,Kharif,0.6691176470588235,28.06,292.0
Andhra Pradesh,ANANTAPUR,2012,Rabi,0.65,28.06,141.7
Andhra Pradesh,ANANTAPUR,2013,Kharif,0.9211711711711712,27.78,351.0
Andhra Pradesh,ANANTAPUR,2013,Rabi,0.9411764705882353,27.78,99.3
Andhra Pradesh,ANANTAPUR,2014,Kharif,0.58675799086758,28.02,213.5
Andhra Pradesh,ANANTAPUR,2014,Rabi,0.5957446808510638,28.02,139.5
Andhra Pradesh,CHITTOOR,2008,Kharif,1.9171528588098017,27.89,366.49999999999994
Andhra Pradesh,CHITTOOR,2008,Rabi,1.8888888888888888,27.89,505.2
Andhra Pradesh,CHITTOOR,2009,Kharif,1.166841552990556,28.43,398.09999999999997
Andhra Pradesh,CHITTOOR,2009,Rabi,1.1764705882352942,28.43,296.4
Andhra Pradesh,CHITTOOR,2010,Kharif,1.9091204154495294,28.25,530.1
Andhra Pradesh,CHITTOOR,2010,Rabi,1.9333333333333333,28.25,425.0
Andhra Pradesh,CHITTOOR,2011,Kharif,2.107097322566936,27.81,507.09999999999997
Andhra Pradesh,CHITTOOR,2011,Rabi,2.0,27.81,377.5
Andhra Pradesh,CHITTOOR,2012,Kharif,2.505056513979774,28.06,432.5
Andhra Pradesh,CHITTOOR,2012,Rabi,2.6,28.06,459.2
Andhra Pradesh,CHITTOOR,2013,Kharif,2.1839016210173283,27.78,447.79999999999995
Andhra Pradesh,CHITTOOR,2013,Rabi,2.0,27.78,329.09999999999997
Andhra Pradesh,CHITTOOR,2014,Kharif,2.2317720907774024,28.02,314.40000000000003
Andhra Pradesh,CHITTOOR,2014,Rabi,2.0,28.02,218.79999999999998
Andhra Pradesh,EAST GODAVARI,2008,Kharif,0.6634264884568651,27.89,768.0
Andhra Pradesh,EAST GODAVARI,2009,Kharif,0.7653333333333333,28.43,440.79999999999995
Andhra Pradesh,EAST GODAVARI,2010,Kharif,0.5220125786163522,28.25,936.6
Andhra Pradesh,EAST GODAVARI,2011,Kharif,0.8297872340425532,27.81,627.4
Andhra Pradesh,EAST GODAVARI,2011,Rabi,0.8333333333333334,27.81,117.0
Andhra Pradesh,EAST GODAVARI,2012,Kharif,1.188235294117647,28.06,934.1
Andhra Pradesh,EAST GODAVARI,2013,Kharif,1.1818181818181819,27.78,472.69999999999993
Andhra Pradesh,EAST GODAVARI,2014,Kharif,1.293103448275862,28.02,397.3
Andhra Pradesh,GUNTUR,2009,Kharif,1.7682539682539682,28.43,429.8
Andhra Pradesh,GUNTUR,2010,Kharif,1.8629107981220658,28.25,936.6
Andhra Pradesh,GUNTUR,2010,Rabi,1.8644067796610169,28.25,374.0
Andhra Pradesh,GUNTUR,2011,Kharif,1.75,27.81,495.7
Andhra Pradesh,GUNTUR,2012,Kharif,1.948990435706695,28.06,590.2
Andhra Pradesh,GUNTUR,2012,Rabi,1.9583333333333333,28.06,394.79999999999995
Andhra Pradesh,GUNTUR,2013,Kharif,1.7490219681011134,27.78,607.6
Andhra Pradesh,GUNTUR,2014,Kharif,1.100145137880987,28.02,411.2
Andhra Pradesh,GUNTUR,2014,Rabi,1.096774193548387,28.02,204.7
Andhra Pradesh,KRISHNA,2009,Kharif,2.0,28.43,911.2
Andhra Pradesh,KURNOOL,2008,Kharif,1.0859613428280772,27.89,409.2
Andhra Pradesh,KURNOOL,2008,Rabi,1.0869565217391304,27.89,264.79999999999995
Andhra Pradesh,KURNOOL,2009,Kharif,0.7220003195398625,28.43,429.1
Andhra Pradesh,KURNOOL,2009,Rabi,0.7213114754098361,28.43,271.3
Andhra Pradesh,KURNOOL,2010,Kharif,1.4860319666435025,28.25,618.7
Andhra Pradesh,KURNOOL,2010,Rabi,1.4855769230769231,28.25,144.3
Andhra Pradesh,KURNOOL,2011,Kharif,0.4690761499806726,27.81,356.2
Andhra Pradesh,KURNOOL,2011,Rabi,0.46849757673667203,27.81,79.7
Andhra Pradesh,KURNOOL,2012,Kharif,1.3040220480578761,28.06,421.90000000000003
Andhra Pradesh,KURNOOL,2012,Rabi,1.3039348710990502,28.06,117.5
Andhra Pradesh,KURNOOL,2013,Kharif,1.1350144470711847,27.78,485.7
Andhra Pradesh,KURNOOL,2013,Rabi,1.1369863013698631,27.78,140.0
Andhra Pradesh,KURNOOL,2014,Kharif,1.4009098101265822,28.02,446.1
Andhra Pradesh,KURNOOL,2014,Rabi,1.4021739130434783,28.02,126.2
Andhra Pradesh,PRAKASAM,2008,Kharif,1.128963364547396,27.89,295.3
Andhra Pradesh,PRAKASAM,2008,Rabi,1.1296296296296295,27.89,636.0
Andhra Pradesh,PRAKASAM,2009,Kharif,2.533062054933876,28.43,297.20000000000005
Andhra Pradesh,PRAKASAM,2009,Rabi,2.532863849765258,28.43,293.6
Andhra Pradesh,PRAKASAM,2010,Kharif,2.1629845990440786,28.25,614.0
Andhra Pradesh,PRAKASAM,2010,Rabi,2.1626262626262625,28.25,522.6
Andhra Pradesh,PRAKASAM,2011,Kharif,2.100020538098172,27.81,273.09999999999997
Andhra Pradesh,PRAKASAM,2011,Rabi,2.1007957559681696,27.81,249.6
Andhra Pradesh,PRAKASAM,2012,Kharif,2.061987491313412,28.06,381.59999999999997
Andhra Pradesh,PRAKASAM,2012,Rabi,2.0617283950617282,28.06,456.7
Andhra Pradesh,PRAKASAM,2013,Kharif,1.8089963207659137,27.78,502.2
Andhra Pradesh,PRAKASAM,2013,Rabi,1.8089368258859784,27.78,439.8
Andhra Pradesh,PRAKASAM,2014,Kharif,1.0260107435679955,28.02,262.6
Andhra Pradesh,PRAKASAM,2014,Rabi,1.0256629597946962,28.02,201.1
Andhra Pradesh,SRIKAKULAM,2008,Kharif,1.5378295104416295,27.89,734.9
Andhra Pradesh,SRIKAKULAM,2009,Kharif,1.5959885386819483,28.43,623.1
Andhra Pradesh,SRIKAKULAM,2010,Kharif,2.299831081081081,28.25,849.8
Andhra Pradesh,SRIKAKULAM,2011,Kharif,1.398950131233596,27.81,747.4000000000001
Andhra Pradesh,SRIKAKULAM,2012,Kharif,2.5548245614035086,28.06,809.6999999999999
Andhra Pradesh,SRIKAKULAM,2013,Kharif,1.7285714285714286,27.78,628.0
Andhra Pradesh,SRIKAKULAM,2014,Kharif,2.663265306122449,28.02,805.8
Andhra Pradesh,VIZIANAGARAM,2008,Kharif,1.0170244263508512,27.89,794.9
Andhra Pradesh,VIZIANAGARAM,2009,Kharif,1.0520094562647755,28.43,714.3
Andhra Pradesh,VIZIANAGARAM,2009,Rabi,1.0,28.43,256.3
Andhra Pradesh,VIZIANAGARAM,2010,Kharif,0.5735056542810986,28.25,952.8
Andhra Pradesh,VIZIANAGARAM,2011,Kharif,0.773972602739726,27.81,697.7
Andhra Pradesh,VIZIANAGARAM,2012,Kharif,0.7847025495750708,28.06,752.9000000000001
Andhra Pradesh,VIZIANAGARAM,2013,Kharif,0.8792270531400966,27.78,538.9
Andhra Pradesh,VIZIANAGARAM,2013,Rabi,1.0,27.78,400.00000000000006
Andhra Pradesh,VIZIANAGARAM,2014,Kharif,0.7196969696969697,28.02,721.7
Bihar,AURANGABAD,2008,Kharif,0.9486709440879927,25.67,599.8
Bihar,AURANGABAD,2009,Kharif,0.9950980392156863,26.41,509.90000000000003
Bihar,AURANGABAD,2010,Kharif,1.4086859688195992,26.4,1286.5
Bihar,AURANGABAD,2011,Kharif,1.2817518248175181,25.63,1531.8
Bihar,AURANGABAD,2012,Kharif,0.6496350364963503,25.48,1262.5
Bihar,AURANGABAD,2013,Kharif,1.2258064516129032,25.3,1166.3
Bihar,AURANGABAD,2014,Kharif,0.5342163355408388,25.34,935.7
Bihar,BHAGALPUR,2008,Kharif,1.0,25.67,930.8000000000001
Bihar,BHAGALPUR,2009,Kharif,1.0,26.41,1112.8999999999999
Bihar,BHAGALPUR,2010,Kharif,1.2,26.4,663.2
Bihar,BHAGALPUR,2011,Kharif,1.1666666666666667,25.63,1022.7
Bihar,BHAGALPUR,2012,Kharif,1.125,25.48,657.7
Bihar,BHAGALPUR,2013,Kharif,1.125,25.3,752.1
Bihar,BHAGALPUR,2014,Kharif,1.1111111111111112,25.34,924.5
Bihar,BHOJPUR,2010,Kharif,1.1180866965620329,26.4,532.2
Bihar,BHOJPUR,2011,Kharif,1.1251896813353566,25.63,644.8
Bihar,BHOJPUR,2012,Kharif,1.1396140749148695,25.48,624.2
Bihar,BHOJPUR,2013,Kharif,1.1376975169300225,25.3,634.4
Bihar,BHOJPUR,2014,Kharif,1.134387351778656,25.34,725.9
Bihar,BUXAR,2009,Kharif,1.1107533805537668,26.41,100.4
Bihar,BUXAR,2010,Kharif,1.1180658558291308,26.4,544.0
Bihar,BUXAR,2011,Kharif,1.124957670165933,25.63,837.8
Bihar,BUXAR,2012,Kharif,1.1400313971742544,25.48,278.2
Bihar,BUXAR,2013,Kharif,1.1381302521008403,25.3,478.5
Bihar,BUXAR,2014,Kharif,1.1339285714285714,25.34,134.0
Bihar,GAYA,2010,Kharif,0.0,26.4,553.7
Bihar,GAYA,2011,Kharif,1.0,25.63,1191.0
Bihar,GAYA,2012,Kharif,1.1666666666666667,25.48,872.4000000000001
Bihar,GAYA,2014,Kharif,1.1428571428571428,25.34,749.8
Bihar,GOPALGANJ,2010,Kharif,1.1428571428571428,26.4,802.2
Bihar,GOPALGANJ,2011,Kharif,1.0909090909090908,25.63,855.6999999999999
Bihar,GOPALGANJ,2012,Kharif,1.15,25.48,934.0
Bihar,MADHEPURA,2014,Kharif,1.1666666666666667,25.34,838.1999999999999
Bihar,NAWADA,2013,Kharif,1.135483870967742,25.3,440.40000000000003
Bihar,ROHTAS,2009,Kharif,1.1428571428571428,26.41,861.0
Bihar,ROHTAS,2010,Kharif,1.1428571428571428,26.4,654.4
Bihar,SITAMARHI,2010,Kharif,1.119047619047619,26.4,490.3
Bihar,SIWAN,2010,Kharif,1.1232876712328768,26.4,791.9000000000001
Bihar,SIWAN,2011,Kharif,1.1296296296296295,25.63,731.0999999999999
Bihar,SIWAN,2012,Kharif,1.1368421052631579,25.48,910.0
Bihar,SIWAN,2013,Kharif,1.1354166666666667,25.3,833.3
Bihar,SIWAN,2014,Kharif,1.1379310344827587,25.34,856.0999999999999
Bihar,VAISHALI,2008,Kharif,1.0,25.67,930.6
Uttar Pradesh,BALRAMPUR,2010,Kharif,1.6923076923076923,26.63,954.8000000000001
Karnataka,BIJAPUR,2008,Kharif,0.5581977094635322,26.1,316.40000000000003
Karnataka,BIJAPUR,2009,Kharif,0.45516218959988397,26.57,591.7
Karnataka,BIJAPUR,2010,Kharif,0.6993369186579478,26.5,1671.7999999999997
Karnataka,BIJAPUR,2011,Kharif,0.7547125824285619,26.16,1329.8
Karnataka,BIJAPUR,2012,Kharif,0.9376420505790252,26.39,1945.6000000000001
Karnataka,BIJAPUR,2013,Kharif,1.0839443235193034,26.18,2843.0
Karnataka,BIJAPUR,2014,Kharif,0.76379840196681,26.41,1901.6
Himachal Pradesh,BILASPUR,2009,Kharif,0.0,10.56,1603.9
Himachal Pradesh,BILASPUR,2010,Kharif,0.42857142857142855,10.66,1732.7
Himachal Pradesh,BILASPUR,2011,Kharif,0.42857142857142855,10.23,1995.3000000000002
Himachal Pradesh,BILASPUR,2012,Kharif,0.5,10.03,1927.7
Himachal Pradesh,BILASPUR,2013,Whole Year,0.35714285714285715,10.2,2612.1000000000004
Himachal Pradesh,BILASPUR,2014,Kharif,0.4,9.91,1673.2
Chhattisgarh,JASHPUR,2008,Kharif,0.4,26.1,1351.6
Chhattisgarh,JASHPUR,2009,Kharif,0.375,26.89,974.5
Chhattisgarh,JASHPUR,2010,Kharif,0.3333333333333333,26.76,992.6999999999999
Chhattisgarh,JASHPUR,2011,Kharif,0.4166666666666667,26.06,1713.4
Chhattisgarh,JASHPUR,2012,Kharif,0.4,26.21,1147.6
Chhattisgarh,JASHPUR,2013,Whole Year,0.3939393939393939,25.83,1003.3
Chhattisgarh,JASHPUR,2014,Kharif,0.4090909090909091,26.02,725.0
Chhattisgarh,KABIRDHAM,2013,Whole Year,0.9158878504672897,25.83,1074.0
Chhattisgarh,KABIRDHAM,2014,Kharif,0.7590361445783133,26.02,1015.2
Chhattisgarh,KORBA,2008,Kharif,0.4027777777777778,26.1,1221.1
Chhattisgarh,KORBA,2009,Kharif,0.3333333333333333,26.89,800.0
Chhattisgarh,KORBA,2010,Kharif,0.5,26.76,1043.7
