State,District,Year,Season,Produce,Temperature,Rainfall
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Whole Year,3462.3773173391496,27.81,3365.9
Andhra Pradesh,ANANTAPUR,2008,Whole Year,9085.832061068702,27.89,867.1000000000001
Andhra Pradesh,ANANTAPUR,2009,Whole Year,5858.875862068966,28.43,585.3
Andhra Pradesh,ANANTAPUR,2011,Whole Year,8005.944134078212,27.81,508.80000000000007
Andhra Pradesh,ANANTAPUR,2012,Whole Year,8623.839009287925,28.06,536.0
Andhra Pradesh,ANANTAPUR,2013,Whole Year,7190.217391304348,27.78,501.69999999999993
Andhra Pradesh,ANANTAPUR,2014,Whole Year,8378.457059679768,28.02,437.8
Andhra Pradesh,CHITTOOR,2008,Whole Year,9091.917241379311,27.89,953.3000000000001
Andhra Pradesh,CHITTOOR,2009,Whole Year,5856.195735936296,28.43,754.3999999999999
Andhra Pradesh,CHITTOOR,2011,Whole Year,8019.9180999181,27.81,978.1
Andhra Pradesh,CHITTOOR,2012,Whole Year,8623.992837958818,28.06,1002.5
Andhra Pradesh,CHITTOOR,2013,Whole Year,7190.942028985507,27.78,855.9999999999999
Andhra Pradesh,CHITTOOR,2014,Whole Year,8378.932178932178,28.02,600.4
Andhra Pradesh,EAST GODAVARI,2008,Whole Year,9816.71585613574,27.89,1123.5
Andhra Pradesh,EAST GODAVARI,2009,Whole Year,10495.787211176787,28.43,607.6999999999999
Andhra Pradesh,EAST GODAVARI,2011,Whole Year,14188.94089592243,27.81,854.6
Andhra Pradesh,EAST GODAVARI,2012,Whole Year,14742.002585023023,28.06,1445.3000000000002
Andhra Pradesh,EAST GODAVARI,2013,Whole Year,14677.994054648369,27.78,1120.2
Andhra Pradesh,EAST GODAVARI,2014,Whole Year,16647.007361570468,28.02,635.6999999999999
Andhra Pradesh,GUNTUR,2008,Whole Year,9140.929936305733,27.89,964.4999999999999
Andhra Pradesh,GUNTUR,2009,Whole Year,11322.132352941177,28.43,643.6
Andhra Pradesh,GUNTUR,2011,Whole Year,14061.824,27.81,660.1999999999999
Andhra Pradesh,GUNTUR,2012,Whole Year,17084.745762711864,28.06,1012.7
Andhra Pradesh,GUNTUR,2013,Whole Year,16576.576576576575,27.78,1161.5
Andhra Pradesh,GUNTUR,2014,Whole Year,21678.571428571428,28.02,681.4
Andhra Pradesh,KRISHNA,2008,Whole Year,9130.781587599811,27.89,2314.3999999999996
Andhra Pradesh,KRISHNA,2009,Whole Year,11291.394258373206,28.43,1642.8
Andhra Pradesh,KRISHNA,2011,Whole Year,14001.481933842239,27.81,1775.3000000000002
Andhra Pradesh,KRISHNA,2012,Whole Year,17086.155378486055,28.06,2204.7
Andhra Pradesh,KRISHNA,2013,Whole Year,16575.25572333171,27.78,2083.3
Andhra Pradesh,KRISHNA,2014,Whole Year,21680.153089119736,28.02,1380.5
Andhra Pradesh,KURNOOL,2008,Whole Year,9108.0,27.89,708.6000000000001
Andhra Pradesh,KURNOOL,2009,Whole Year,5913.367346938776,28.43,767.8999999999999
Andhra Pradesh,KURNOOL,2011,Whole Year,7952.0,27.81,482.1
Andhra Pradesh,KURNOOL,2012,Whole Year,8625.0,28.06,609.3
Andhra Pradesh,KURNOOL,2013,Whole Year,7250.0,27.78,703.4000000000001
Andhra Pradesh,KURNOOL,2014,Whole Year,8375.0,28.02,628.9000000000001
Andhra Pradesh,PRAKASAM,2008,Whole Year,9171.079365079366,27.89,937.7
Andhra Pradesh,PRAKASAM,2009,Whole Year,11219.016393442624,28.43,635.1
Andhra Pradesh,PRAKASAM,2011,Whole Year,13945.191489361701,27.81,569.8000000000001
Andhra Pradesh,PRAKASAM,2012,Whole Year,17076.923076923078,28.06,886.4
Andhra Pradesh,PRAKASAM,2013,Whole Year,16564.102564102563,27.78,986.2
Andhra Pradesh,PRAKASAM,2014,Whole Year,21675.675675675677,28.02,497.09999999999997
Andhra Pradesh,SRIKAKULAM,2008,Whole Year,7587.623674307219,27.89,1047.8999999999999
Andhra Pradesh,SRIKAKULAM,2009,Whole Year,9757.568096313018,28.43,874.3000000000001
Andhra Pradesh,SRIKAKULAM,2011,Whole Year,11594.47936594698,27.81,963.3
Andhra Pradesh,SRIKAKULAM,2012,Whole Year,21285.001040149782,28.06,1289.2
Andhra Pradesh,SRIKAKULAM,2013,Whole Year,18089.994207935128,27.78,1421.9
Andhra Pradesh,SRIKAKULAM,2014,Whole Year,23759.973933820867,28.02,1274.3
Andhra Pradesh,VIZIANAGARAM,2008,Whole Year,9132.12165775401,27.89,1069.3
Andhra Pradesh,VIZIANAGARAM,2009,Whole Year,11290.276474318325,28.43,1032.3999999999999
Andhra Pradesh,VIZIANAGARAM,2011,Whole Year,14004.12346597248,27.81,1017.6000000000001
Andhra Pradesh,VIZIANAGARAM,2012,Whole Year,17085.916045508042,28.06,1296.9
Andhra Pradesh,VIZIANAGARAM,2013,Whole Year,16574.90494296578,27.78,1028.3
Andhra Pradesh,VIZIANAGARAM,2014,Whole Year,5599.842146803473,28.02,1204.4
Andhra Pradesh,WEST GODAVARI,2008,Whole Year,7897.758145754402,27.89,1234.1000000000001
Andhra Pradesh,WEST GODAVARI,2009,Whole Year,14116.437817011314,28.43,753.1
Andhra Pradesh,WEST GODAVARI,2011,Whole Year,16710.774414870324,27.81,931.8
