State,District,Year,Season,Produce,Temperature,Rainfall
Andhra Pradesh,ANANTAPUR,2008,Kharif,0.7703289882060832,27.89,487.59999999999997
Andhra Pradesh,ANANTAPUR,2009,Kharif,0.5942801745031507,28.43,364.99999999999994
Andhra Pradesh,ANANTAPUR,2010,Kharif,0.6862609497464269,28.25,431.70000000000005
Andhra Pradesh,ANANTAPUR,2011,Kharif,0.6253691901134774,27.81,286.4
Andhra Pradesh,ANANTAPUR,2012,Kharif,1.2882173692229557,28.06,292.0
Andhra Pradesh,ANANTAPUR,2012,Rabi,1.2857142857142858,28.06,141.7
Andhra Pradesh,ANANTAPUR,2013,Kharif,2.052946018427551,27.78,351.0
Andhra Pradesh,ANANTAPUR,2013,Rabi,2.0483870967741935,27.78,99.3
Andhra Pradesh,ANANTAPUR,2014,Kharif,1.4074782325657091,28.02,213.5
Andhra Pradesh,ANANTAPUR,2014,Rabi,1.407239819004525,28.02,139.5
Andhra Pradesh,CHITTOOR,2008,Kharif,1.5416666666666667,27.89,366.49999999999994
Andhra Pradesh,CHITTOOR,2009,Kharif,1.4242424242424243,28.43,398.09999999999997
Andhra Pradesh,CHITTOOR,2010,Kharif,0.41702127659574467,28.25,530.1
Andhra Pradesh,CHITTOOR,2011,Kharif,0.1625,27.81,507.09999999999997
Andhra Pradesh,CHITTOOR,2012,Kharif,1.277602523659306,28.06,432.5
Andhra Pradesh,CHITTOOR,2012,Rabi,1.2743362831858407,28.06,459.2
Andhra Pradesh,CHITTOOR,2013,Kharif,2.4904458598726116,27.78,447.79999999999995
Andhra Pradesh,CHITTOOR,2013,Rabi,2.4896907216494846,27.78,329.09999999999997
Andhra Pradesh,CHITTOOR,2014,Kharif,2.3474025974025974,28.02,314.40000000000003
Andhra Pradesh,CHITTOOR,2014,Rabi,2.3449541284403668,28.02,218.79999999999998
Andhra Pradesh,EAST GODAVARI,2008,Kharif,1.9059472551130248,27.89,768.0
Andhra Pradesh,EAST GODAVARI,2009,Kharif,2.870562454346238,28.43,440.79999999999995
Andhra Pradesh,EAST GODAVARI,2010,Kharif,1.776502642007926,28.25,936.6
Andhra Pradesh,EAST GODAVARI,2011,Kharif,1.511787072243346,27.81,627.4
Andhra Pradesh,EAST GODAVARI,2012,Kharif,1.9294152567527456,28.06,934.1
Andhra Pradesh,EAST GODAVARI,2013,Kharif,1.1353014094853313,27.78,472.69999999999993
Andhra Pradesh,EAST GODAVARI,2014,Kharif,2.1217402933178797,28.02,397.3
Andhra Pradesh,GUNTUR,2008,Kharif,3.870586749574536,27.89,650.0
Andhra Pradesh,GUNTUR,2009,Kharif,3.4647039408541818,28.43,429.8
Andhra Pradesh,GUNTUR,2010,Kharif,2.3637031464873823,28.25,936.6
Andhra Pradesh,GUNTUR,2011,Kharif,2.129411113979129,27.81,495.7
Andhra Pradesh,GUNTUR,2012,Kharif,3.7823551070721515,28.06,590.2
Andhra Pradesh,GUNTUR,2013,Kharif,3.8941187431097215,27.78,607.6
Andhra Pradesh,GUNTUR,2014,Kharif,5.21313731380891,28.02,411.2
Andhra Pradesh,GUNTUR,2014,Rabi,5.2272727272727275,28.02,204.7
Andhra Pradesh,KRISHNA,2008,Kharif,3.585017317079822,27.89,1369.3000000000002
Andhra Pradesh,KRISHNA,2009,Kharif,3.0,28.43,911.2
Andhra Pradesh,KRISHNA,2010,Kharif,2.2647075803937415,28.25,1487.0
Andhra Pradesh,KRISHNA,2011,Kharif,2.0470548918038265,27.81,999.2
Andhra Pradesh,KRISHNA,2012,Kharif,3.2352977648262393,28.06,1167.6
Andhra Pradesh,KRISHNA,2013,Kharif,3.788243626062323,27.78,1071.5
Andhra Pradesh,KRISHNA,2014,Kharif,4.708391067283295,28.02,648.6999999999999
Andhra Pradesh,KURNOOL,2008,Kharif,1.829422575543873,27.89,409.2
Andhra Pradesh,KURNOOL,2009,Kharif,1.4588300526753535,28.43,429.1
Andhra Pradesh,KURNOOL,2010,Kharif,2.0623854230320537,28.25,618.7
Andhra Pradesh,KURNOOL,2011,Kharif,1.2585816828119536,27.81,356.2
Andhra Pradesh,KURNOOL,2012,Kharif,1.135294611327381,28.06,421.90000000000003
Andhra Pradesh,KURNOOL,2012,Rabi,1.1368421052631579,28.06,117.5
Andhra Pradesh,KURNOOL,2013,Kharif,3.3352957048593224,27.78,485.7
Andhra Pradesh,KURNOOL,2013,Rabi,3.335195530726257,27.78,140.0
Andhra Pradesh,KURNOOL,2014,Kharif,2.645315593776343,28.02,446.1
Andhra Pradesh,KURNOOL,2014,Rabi,3.0,28.02,126.2
Andhra Pradesh,PRAKASAM,2008,Kharif,3.223535469949241,27.89,295.3
Andhra Pradesh,PRAKASAM,2009,Kharif,2.8411711165048543,28.43,297.20000000000005
Andhra Pradesh,PRAKASAM,2010,Kharif,2.2376655452052665,28.25,614.0
Andhra Pradesh,PRAKASAM,2011,Kharif,2.4187017828480695,27.81,273.09999999999997
Andhra Pradesh,PRAKASAM,2012,Kharif,3.100006328513116,28.06,381.59999999999997
Andhra Pradesh,PRAKASAM,2012,Rabi,3.100052110474205,28.06,456.7
Andhra Pradesh,PRAKASAM,2013,Kharif,3.3294090711910154,27.78,502.2
Andhra Pradesh,PRAKASAM,2013,Rabi,3.3291420118343193,27.78,439.8
Andhra Pradesh,PRAKASAM,2014,Kharif,3.529180648769575,28.02,262.6
