State,District,Year,Season,Produce,Temperature,Rainfall
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi,1.5826771653543308,27.81,880.2
Andhra Pradesh,ANANTAPUR,2008,Kharif,3.4980940279542567,27.89,487.59999999999997
Andhra Pradesh,ANANTAPUR,2009,Kharif,2.5130922693266835,28.43,364.99999999999994
Andhra Pradesh,ANANTAPUR,2010,Kharif,3.7129065040650406,28.25,431.70000000000005
Andhra Pradesh,ANANTAPUR,2011,Kharif,2.5420629114850035,27.81,286.4
Andhra Pradesh,ANANTAPUR,2011,Rabi,1.296875,27.81,111.39999999999999
Andhra Pradesh,ANANTAPUR,2012,Kharif,2.0478801169590644,28.06,292.0
Andhra Pradesh,ANANTAPUR,2012,Rabi,2.2714285714285714,28.06,141.7
Andhra Pradesh,ANANTAPUR,2013,Kharif,1.4979221760483565,27.78,351.0
Andhra Pradesh,ANANTAPUR,2013,Rabi,2.0,27.78,99.3
Andhra Pradesh,ANANTAPUR,2014,Kharif,4.232940335834226,28.02,213.5
Andhra Pradesh,ANANTAPUR,2014,Rabi,3.120967741935484,28.02,139.5
Andhra Pradesh,CHITTOOR,2008,Kharif,2.482490272373541,27.89,366.49999999999994
Andhra Pradesh,CHITTOOR,2008,Rabi,2.062,27.89,505.2
Andhra Pradesh,CHITTOOR,2009,Kharif,2.3942470389170896,28.43,398.09999999999997
Andhra Pradesh,CHITTOOR,2009,Rabi,3.350021767522856,28.43,296.4
Andhra Pradesh,CHITTOOR,2010,Rabi,2.0417895771878074,28.25,425.0
Andhra Pradesh,CHITTOOR,2011,Rabi,1.3041644702161308,27.81,377.5
Andhra Pradesh,CHITTOOR,2012,Rabi,2.2779083431257345,28.06,459.2
Andhra Pradesh,CHITTOOR,2013,Rabi,1.9920045688178183,27.78,329.09999999999997
Andhra Pradesh,CHITTOOR,2014,Rabi,3.1228588304784406,28.02,218.79999999999998
Andhra Pradesh,EAST GODAVARI,2008,Kharif,4.464737793851718,27.89,768.0
Andhra Pradesh,EAST GODAVARI,2008,Rabi,3.52991452991453,27.89,296.59999999999997
Andhra Pradesh,EAST GODAVARI,2009,Kharif,4.7935943060498225,28.43,440.79999999999995
Andhra Pradesh,EAST GODAVARI,2009,Rabi,3.93448275862069,28.43,117.1
Andhra Pradesh,EAST GODAVARI,2010,Kharif,3.3157894736842106,28.25,936.6
Andhra Pradesh,EAST GODAVARI,2010,Rabi,4.12780269058296,28.25,786.6
Andhra Pradesh,EAST GODAVARI,2011,Kharif,3.8,27.81,627.4
Andhra Pradesh,EAST GODAVARI,2011,Rabi,4.355555555555555,27.81,117.0
Andhra Pradesh,EAST GODAVARI,2012,Kharif,4.134831460674158,28.06,934.1
Andhra Pradesh,EAST GODAVARI,2012,Rabi,3.9918032786885247,28.06,460.0
Andhra Pradesh,EAST GODAVARI,2013,Kharif,4.8465608465608465,27.78,472.69999999999993
Andhra Pradesh,EAST GODAVARI,2013,Rabi,4.689320388349515,27.78,569.1999999999999
Andhra Pradesh,EAST GODAVARI,2014,Kharif,5.754010695187166,28.02,397.3
Andhra Pradesh,EAST GODAVARI,2014,Rabi,1.2161854103343466,28.02,118.5
Andhra Pradesh,GUNTUR,2008,Kharif,4.995999085505258,27.89,650.0
Andhra Pradesh,GUNTUR,2008,Rabi,3.5301003344481607,27.89,306.70000000000005
Andhra Pradesh,GUNTUR,2009,Kharif,5.519996118828533,28.43,429.8
Andhra Pradesh,GUNTUR,2009,Rabi,3.9339345226426192,28.43,158.79999999999998
Andhra Pradesh,GUNTUR,2010,Kharif,3.34599472261133,28.25,936.6
Andhra Pradesh,GUNTUR,2010,Rabi,4.127036813518407,28.25,374.0
Andhra Pradesh,GUNTUR,2011,Kharif,4.2919992474938855,27.81,495.7
Andhra Pradesh,GUNTUR,2011,Rabi,4.355803048065651,27.81,101.6
Andhra Pradesh,GUNTUR,2012,Kharif,4.357999624631029,28.06,590.2
Andhra Pradesh,GUNTUR,2012,Rabi,3.98989898989899,28.06,394.79999999999995
Andhra Pradesh,GUNTUR,2013,Kharif,5.137005961580923,27.78,607.6
Andhra Pradesh,GUNTUR,2013,Rabi,4.6851457000710734,27.78,502.20000000000005
Andhra Pradesh,GUNTUR,2014,Kharif,6.509993457638207,28.02,411.2
Andhra Pradesh,GUNTUR,2014,Rabi,5.0529355149181905,28.02,204.7
Andhra Pradesh,KRISHNA,2008,Kharif,3.6799899129996216,27.89,1369.3000000000002
Andhra Pradesh,KRISHNA,2008,Rabi,3.5305232558139537,27.89,815.2
Andhra Pradesh,KRISHNA,2009,Kharif,2.923990748528175,28.43,911.2
Andhra Pradesh,KRISHNA,2009,Rabi,3.9335288367546433,28.43,420.8
Andhra Pradesh,KRISHNA,2010,Kharif,3.2909866666666665,28.25,1487.0
Andhra Pradesh,KRISHNA,2010,Rabi,4.12720156555773,28.25,872.6000000000001
Andhra Pradesh,KRISHNA,2011,Kharif,2.9600189633375473,27.81,999.2
Andhra Pradesh,KRISHNA,2011,Rabi,4.355867346938775,27.81,501.3
Andhra Pradesh,KRISHNA,2012,Kharif,3.384987146529563,28.06,1167.6
Andhra Pradesh,KRISHNA,2012,Rabi,3.98989898989899,28.06,812.2
Andhra Pradesh,KRISHNA,2013,Kharif,4.957957342083676,27.78,1071.5
Andhra Pradesh,KRISHNA,2013,Rabi,4.685314685314685,27.78,786.5000000000001
Andhra Pradesh,KRISHNA,2014,Kharif,5.852057710501419,28.02,648.6999999999999
Andhra Pradesh,KRISHNA,2014,Rabi,5.0532043530834345,28.02,446.6
Andhra Pradesh,KURNOOL,2008,Kharif,2.431014408383059,27.89,409.2
Andhra Pradesh,KURNOOL,2008,Rabi,2.061224489795918,27.89,264.79999999999995
Andhra Pradesh,KURNOOL,2009,Kharif,2.3329757754536518,28.43,429.1
Andhra Pradesh,KURNOOL,2009,Rabi,3.3498312710911136,28.43,271.3
Andhra Pradesh,KURNOOL,2010,Kharif,2.892005867253392,28.25,618.7
Andhra Pradesh,KURNOOL,2010,Rabi,2.042452830188679,28.25,144.3
Andhra Pradesh,KURNOOL,2011,Kharif,2.116001834021091,27.81,356.2
Andhra Pradesh,KURNOOL,2011,Rabi,1.3040614709110867,27.81,79.7
Andhra Pradesh,KURNOOL,2012,Kharif,1.9149872040946898,28.06,421.90000000000003
Andhra Pradesh,KURNOOL,2012,Rabi,2.2774294670846396,28.06,117.5
Andhra Pradesh,KURNOOL,2013,Kharif,3.788027799632835,27.78,485.7
Andhra Pradesh,KURNOOL,2013,Rabi,1.9929824561403509,27.78,140.0
Andhra Pradesh,KURNOOL,2014,Kharif,5.0659817681956305,28.02,446.1
Andhra Pradesh,KURNOOL,2014,Rabi,3.122983870967742,28.02,126.2
Andhra Pradesh,PRAKASAM,2008,Kharif,2.504998507908087,27.89,295.3
Andhra Pradesh,PRAKASAM,2008,Rabi,6.0840009155413135,27.89,636.0
