State,District,Year,Season,Produce,Temperature,Rainfall
Andhra Pradesh,ANANTAPUR,2008,Rabi,0.9359934296078297,27.89,316.5
Andhra Pradesh,ANANTAPUR,2009,Rabi,1.1539984505466128,28.43,136.5
Andhra Pradesh,ANANTAPUR,2010,Rabi,0.7809953310696095,28.25,268.8
Andhra Pradesh,ANANTAPUR,2011,Rabi,0.5549990508593373,27.81,111.39999999999999
Andhra Pradesh,ANANTAPUR,2012,Rabi,0.8620032115616219,28.06,141.7
Andhra Pradesh,ANANTAPUR,2013,Rabi,0.7999953362559463,27.78,99.3
Andhra Pradesh,ANANTAPUR,2014,Rabi,0.5679962403806614,28.02,139.5
Andhra Pradesh,CHITTOOR,2008,Rabi,3.8947368421052633,27.89,505.2
Andhra Pradesh,CHITTOOR,2009,Rabi,1.0,28.43,296.4
Andhra Pradesh,CHITTOOR,2011,Rabi,0.5,27.81,377.5
Andhra Pradesh,CHITTOOR,2012,Rabi,0.7647058823529411,28.06,459.2
Andhra Pradesh,CHITTOOR,2013,Rabi,1.25,27.78,329.09999999999997
Andhra Pradesh,CHITTOOR,2014,Rabi,1.0,28.02,218.79999999999998
Andhra Pradesh,EAST GODAVARI,2008,Rabi,1.7403846153846154,27.89,296.59999999999997
Andhra Pradesh,EAST GODAVARI,2009,Rabi,1.642570281124498,28.43,117.1
Andhra Pradesh,EAST GODAVARI,2010,Rabi,1.6645569620253164,28.25,786.6
Andhra Pradesh,EAST GODAVARI,2011,Rabi,1.5108695652173914,27.81,117.0
Andhra Pradesh,EAST GODAVARI,2012,Rabi,1.814516129032258,28.06,460.0
Andhra Pradesh,EAST GODAVARI,2013,Rabi,1.9253731343283582,27.78,569.1999999999999
Andhra Pradesh,EAST GODAVARI,2014,Rabi,1.9278350515463918,28.02,118.5
Andhra Pradesh,GUNTUR,2008,Rabi,2.0649845274934537,27.89,306.70000000000005
Andhra Pradesh,GUNTUR,2009,Rabi,1.3009852738637568,28.43,158.79999999999998
Andhra Pradesh,GUNTUR,2010,Rabi,1.7699807156631668,28.25,374.0
Andhra Pradesh,GUNTUR,2011,Rabi,2.0400239459505687,27.81,101.6
Andhra Pradesh,GUNTUR,2012,Rabi,1.8839825312100225,28.06,394.79999999999995
Andhra Pradesh,GUNTUR,2013,Rabi,2.280004207426107,27.78,502.20000000000005
Andhra Pradesh,GUNTUR,2014,Rabi,2.3029436501261564,28.02,204.7
Andhra Pradesh,KRISHNA,2008,Rabi,1.7411385606874328,27.89,815.2
Andhra Pradesh,KRISHNA,2009,Rabi,1.6419753086419753,28.43,420.8
Andhra Pradesh,KRISHNA,2010,Rabi,1.6633906633906634,28.25,872.6000000000001
Andhra Pradesh,KRISHNA,2011,Rabi,1.515198752922837,27.81,501.3
Andhra Pradesh,KRISHNA,2012,Rabi,1.815844700944386,28.06,812.2
Andhra Pradesh,KRISHNA,2013,Rabi,1.9272388059701493,27.78,786.5000000000001
