State,District,Year,Season,Produce,Temperature,Rainfall
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi,1.431578947368421,27.81,880.2
Andhra Pradesh,ANANTAPUR,2008,Kharif,0.08800026242506534,27.89,487.59999999999997
Andhra Pradesh,ANANTAPUR,2008,Rabi,1.4750281414775757,27.89,316.5
Andhra Pradesh,ANANTAPUR,2009,Kharif,0.223000191828122,28.43,364.99999999999994
Andhra Pradesh,ANANTAPUR,2009,Rabi,1.4379966165991696,28.43,136.5
Andhra Pradesh,ANANTAPUR,2010,Kharif,0.5489996646508868,28.25,431.70000000000005
Andhra Pradesh,ANANTAPUR,2010,Rabi,1.7039963987395588,28.25,268.8
Andhra Pradesh,ANANTAPUR,2011,Kharif,0.23799934601340672,27.81,286.4
Andhra Pradesh,ANANTAPUR,2011,Rabi,1.64499899376132,27.81,111.39999999999999
Andhra Pradesh,ANANTAPUR,2012,Kharif,0.416999666999667,28.06,292.0
Andhra Pradesh,ANANTAPUR,2012,Rabi,1.6400152475341878,28.06,141.7
Andhra Pradesh,ANANTAPUR,2013,Kharif,0.40299938831040083,27.78,351.0
Andhra Pradesh,ANANTAPUR,2013,Rabi,1.521990406287927,27.78,99.3
Andhra Pradesh,ANANTAPUR,2014,Kharif,0.26999931008689276,28.02,213.5
Andhra Pradesh,ANANTAPUR,2014,Rabi,1.6499966570836397,28.02,139.5
Andhra Pradesh,CHITTOOR,2008,Kharif,0.4900001747711954,27.89,366.49999999999994
Andhra Pradesh,CHITTOOR,2008,Rabi,2.696,27.89,505.2
Andhra Pradesh,CHITTOOR,2009,Kharif,0.5840028595335386,28.43,398.09999999999997
Andhra Pradesh,CHITTOOR,2009,Rabi,3.6100159177176443,28.43,296.4
Andhra Pradesh,CHITTOOR,2010,Kharif,1.0750020188968747,28.25,530.1
Andhra Pradesh,CHITTOOR,2010,Rabi,2.3450340543372503,28.25,425.0
Andhra Pradesh,CHITTOOR,2011,Kharif,0.6269991518749621,27.81,507.09999999999997
Andhra Pradesh,CHITTOOR,2011,Rabi,3.2359781606750335,27.81,377.5
Andhra Pradesh,CHITTOOR,2012,Kharif,0.6410016295651789,28.06,432.5
Andhra Pradesh,CHITTOOR,2012,Rabi,2.719028062970568,28.06,459.2
Andhra Pradesh,CHITTOOR,2013,Kharif,0.9960007551021836,27.78,447.79999999999995
Andhra Pradesh,CHITTOOR,2013,Rabi,2.726993610488756,27.78,329.09999999999997
Andhra Pradesh,CHITTOOR,2014,Kharif,0.5939972915205012,28.02,314.40000000000003
Andhra Pradesh,CHITTOOR,2014,Rabi,2.6049830124575313,28.02,218.79999999999998
Andhra Pradesh,EAST GODAVARI,2008,Kharif,1.2,27.89,768.0
Andhra Pradesh,EAST GODAVARI,2008,Rabi,2.2416851441241685,27.89,296.59999999999997
Andhra Pradesh,EAST GODAVARI,2009,Kharif,1.1123595505617978,28.43,440.79999999999995
Andhra Pradesh,EAST GODAVARI,2009,Rabi,2.498956158663883,28.43,117.1
Andhra Pradesh,EAST GODAVARI,2010,Kharif,1.2424242424242424,28.25,936.6
Andhra Pradesh,EAST GODAVARI,2010,Rabi,2.189655172413793,28.25,786.6
Andhra Pradesh,EAST GODAVARI,2011,Kharif,1.4042553191489362,27.81,627.4
Andhra Pradesh,EAST GODAVARI,2011,Rabi,2.39647577092511,27.81,117.0
Andhra Pradesh,EAST GODAVARI,2012,Kharif,1.6388888888888888,28.06,934.1
Andhra Pradesh,EAST GODAVARI,2012,Rabi,2.4315352697095434,28.06,460.0
Andhra Pradesh,EAST GODAVARI,2013,Kharif,1.8688524590163935,27.78,472.69999999999993
Andhra Pradesh,EAST GODAVARI,2013,Rabi,2.5826771653543306,27.78,569.1999999999999
Andhra Pradesh,EAST GODAVARI,2014,Kharif,1.6296296296296295,28.02,397.3
Andhra Pradesh,EAST GODAVARI,2014,Rabi,3.2514792899408285,28.02,118.5
Andhra Pradesh,GUNTUR,2008,Kharif,1.1986301369863013,27.89,650.0
Andhra Pradesh,GUNTUR,2008,Rabi,2.474949494949495,27.89,306.70000000000005
Andhra Pradesh,GUNTUR,2009,Kharif,1.109375,28.43,429.8
Andhra Pradesh,GUNTUR,2009,Rabi,2.7630992196209587,28.43,158.79999999999998
Andhra Pradesh,GUNTUR,2010,Kharif,1.2380952380952381,28.25,936.6
Andhra Pradesh,GUNTUR,2010,Rabi,2.982911825017088,28.25,374.0
Andhra Pradesh,GUNTUR,2011,Kharif,1.3988269794721409,27.81,495.7
Andhra Pradesh,GUNTUR,2011,Rabi,2.9,27.81,101.6
Andhra Pradesh,GUNTUR,2012,Kharif,1.6451612903225807,28.06,590.2
Andhra Pradesh,GUNTUR,2012,Rabi,1.9899616179509891,28.06,394.79999999999995
Andhra Pradesh,GUNTUR,2013,Kharif,1.8725490196078431,27.78,607.6
Andhra Pradesh,GUNTUR,2013,Rabi,3.580934101087652,27.78,502.20000000000005
Andhra Pradesh,GUNTUR,2014,Kharif,1.6144278606965174,28.02,411.2
Andhra Pradesh,GUNTUR,2014,Rabi,5.150039072675176,28.02,204.7
Andhra Pradesh,KRISHNA,2008,Kharif,2.8750303324435817,27.89,1369.3000000000002
Andhra Pradesh,KRISHNA,2008,Rabi,2.1089426877470356,27.89,815.2
Andhra Pradesh,KRISHNA,2009,Kharif,2.325855513307985,28.43,911.2
Andhra Pradesh,KRISHNA,2009,Rabi,1.6551485832757429,28.43,420.8
Andhra Pradesh,KRISHNA,2010,Kharif,2.8048418972332017,28.25,1487.0
Andhra Pradesh,KRISHNA,2010,Rabi,1.3731988472622478,28.25,872.6000000000001
Andhra Pradesh,KRISHNA,2011,Kharif,1.8820809248554913,27.81,999.2
Andhra Pradesh,KRISHNA,2011,Rabi,2.178115015974441,27.81,501.3
Andhra Pradesh,KRISHNA,2012,Kharif,2.8470790378006874,28.06,1167.6
Andhra Pradesh,KRISHNA,2012,Rabi,2.181847755367599,28.06,812.2
Andhra Pradesh,KRISHNA,2013,Kharif,1.924963924963925,27.78,1071.5
Andhra Pradesh,KRISHNA,2013,Rabi,1.7847971237801745,27.78,786.5000000000001
Andhra Pradesh,KRISHNA,2014,Kharif,2.6926926926926926,28.02,648.6999999999999
Andhra Pradesh,KRISHNA,2014,Rabi,2.1857988165680475,28.02,446.6
Andhra Pradesh,KURNOOL,2008,Kharif,0.566999169487136,27.89,409.2
Andhra Pradesh,KURNOOL,2008,Rabi,2.216001803020059,27.89,264.79999999999995
Andhra Pradesh,KURNOOL,2009,Kharif,0.41900131986789374,28.43,429.1
Andhra Pradesh,KURNOOL,2009,Rabi,2.2419820196529376,28.43,271.3
Andhra Pradesh,KURNOOL,2010,Kharif,0.5970004365133658,28.25,618.7
Andhra Pradesh,KURNOOL,2010,Rabi,2.332992166279573,28.25,144.3
Andhra Pradesh,KURNOOL,2011,Kharif,0.24800323767125734,27.81,356.2
Andhra Pradesh,KURNOOL,2011,Rabi,1.527012191598775,27.81,79.7
Andhra Pradesh,KURNOOL,2012,Kharif,0.744996799299215,28.06,421.90000000000003
Andhra Pradesh,KURNOOL,2012,Rabi,1.9790104282227645,28.06,117.5
Andhra Pradesh,KURNOOL,2013,Kharif,0.9019997614598656,27.78,485.7
Andhra Pradesh,KURNOOL,2013,Rabi,2.039988134084841,27.78,140.0
Andhra Pradesh,KURNOOL,2014,Kharif,0.7180012744265081,28.02,446.1
Andhra Pradesh,KURNOOL,2014,Rabi,2.3020036429872497,28.02,126.2
Andhra Pradesh,PRAKASAM,2008,Kharif,0.09102296450939457,27.89,295.3
Andhra Pradesh,PRAKASAM,2008,Rabi,2.6350466638807633,27.89,636.0
Andhra Pradesh,PRAKASAM,2009,Kharif,1.108187134502924,28.43,297.20000000000005
Andhra Pradesh,PRAKASAM,2009,Rabi,3.332971407889975,28.43,293.6
Andhra Pradesh,PRAKASAM,2010,Kharif,0.1631623212783852,28.25,614.0
Andhra Pradesh,PRAKASAM,2010,Rabi,2.478952772073922,28.25,522.6
Andhra Pradesh,PRAKASAM,2011,Kharif,0.06906077348066299,27.81,273.09999999999997
Andhra Pradesh,PRAKASAM,2011,Rabi,3.0029225523623966,27.81,249.6
Andhra Pradesh,PRAKASAM,2012,Kharif,1.645990404386566,28.06,381.59999999999997
Andhra Pradesh,PRAKASAM,2012,Rabi,2.8130146615786304,28.06,456.7
Andhra Pradesh,PRAKASAM,2013,Kharif,1.8719862227324915,27.78,502.2
Andhra Pradesh,PRAKASAM,2013,Rabi,3.641946010086028,27.78,439.8
Andhra Pradesh,PRAKASAM,2014,Kharif,1.614057239057239,28.02,262.6
Andhra Pradesh,PRAKASAM,2014,Rabi,3.6258687258687257,28.02,201.1
Andhra Pradesh,SRIKAKULAM,2008,Kharif,0.9309992446794331,27.89,734.9
Andhra Pradesh,SRIKAKULAM,2008,Rabi,1.3099590723055934,27.89,192.7
Andhra Pradesh,SRIKAKULAM,2009,Kharif,0.8719988429273937,28.43,623.1
Andhra Pradesh,SRIKAKULAM,2009,Rabi,2.1310575635876843,28.43,218.0
Andhra Pradesh,SRIKAKULAM,2010,Kharif,1.1700188560653677,28.25,849.8
Andhra Pradesh,SRIKAKULAM,2010,Rabi,1.8379451703817575,28.25,674.9
Andhra Pradesh,SRIKAKULAM,2011,Kharif,1.2720011210762332,27.81,747.4000000000001
Andhra Pradesh,SRIKAKULAM,2011,Rabi,1.657041755130927,27.81,61.7
Andhra Pradesh,SRIKAKULAM,2012,Kharif,1.1430317848410758,28.06,809.6999999999999
Andhra Pradesh,SRIKAKULAM,2012,Rabi,1.9299589603283174,28.06,394.40000000000003
Andhra Pradesh,SRIKAKULAM,2013,Kharif,1.4630467571644041,27.78,628.0
Andhra Pradesh,SRIKAKULAM,2013,Rabi,1.4169826875515252,27.78,701.0
Andhra Pradesh,SRIKAKULAM,2014,Kharif,1.0020650490449148,28.02,805.8
Andhra Pradesh,SRIKAKULAM,2014,Rabi,1.9319868095630668,28.02,264.59999999999997
Andhra Pradesh,VIZIANAGARAM,2008,Kharif,0.9199872766178937,27.89,794.9
Andhra Pradesh,VIZIANAGARAM,2008,Rabi,2.3861331871745683,27.89,168.7
Andhra Pradesh,VIZIANAGARAM,2009,Kharif,0.9279985417426175,28.43,714.3
Andhra Pradesh,VIZIANAGARAM,2009,Rabi,1.7181175323091928,28.43,256.3
Andhra Pradesh,VIZIANAGARAM,2010,Kharif,1.0650137010518872,28.25,952.8
Andhra Pradesh,VIZIANAGARAM,2010,Rabi,1.3419540229885059,28.25,560.7
Andhra Pradesh,VIZIANAGARAM,2011,Kharif,1.1880276735459663,27.81,697.7
Andhra Pradesh,VIZIANAGARAM,2011,Rabi,1.4809384164222874,27.81,121.6
Andhra Pradesh,VIZIANAGARAM,2012,Kharif,1.076015272474835,28.06,752.9000000000001
Andhra Pradesh,VIZIANAGARAM,2012,Rabi,1.6668346774193548,28.06,457.2
Andhra Pradesh,VIZIANAGARAM,2013,Kharif,1.2179903663044696,27.78,538.9
Andhra Pradesh,VIZIANAGARAM,2013,Rabi,1.2830109335576114,27.78,400.00000000000006
Andhra Pradesh,VIZIANAGARAM,2014,Kharif,1.025044433672645,28.02,721.7
Andhra Pradesh,VIZIANAGARAM,2014,Rabi,2.491867915229177,28.02,327.4
Andhra Pradesh,WEST GODAVARI,2008,Kharif,1.197039125837152,27.89,925.6999999999999
Andhra Pradesh,WEST GODAVARI,2008,Rabi,2.1129504647905257,27.89,299.0
Andhra Pradesh,WEST GODAVARI,2009,Kharif,1.108148148148148,28.43,515.5
Andhra Pradesh,WEST GODAVARI,2009,Rabi,2.4549586776859504,28.43,184.29999999999998
Andhra Pradesh,WEST GODAVARI,2010,Kharif,1.2388451443569555,28.25,1134.0
Andhra Pradesh,WEST GODAVARI,2010,Rabi,2.309015829318651,28.25,560.9
Andhra Pradesh,WEST GODAVARI,2011,Kharif,1.3989136994568496,27.81,758.4
Andhra Pradesh,WEST GODAVARI,2011,Rabi,2.503941908713693,27.81,68.9
Andhra Pradesh,WEST GODAVARI,2012,Kharif,1.645748987854251,28.06,1041.9
Andhra Pradesh,WEST GODAVARI,2012,Rabi,2.9780507450664517,28.06,532.6
Andhra Pradesh,WEST GODAVARI,2013,Kharif,1.8716773602199817,27.78,550.8
Andhra Pradesh,WEST GODAVARI,2013,Rabi,2.88091555830498,27.78,416.0
Andhra Pradesh,WEST GODAVARI,2014,Kharif,1.6151603498542273,28.02,637.7
Andhra Pradesh,WEST GODAVARI,2014,Rabi,2.6790123456790123,28.02,91.10000000000001
Bihar,ARARIA,2008,Kharif,0.4935064935064935,25.67,0.0
Bihar,ARARIA,2010,Kharif,1.0217391304347827,26.4,1300.5
Bihar,ARWAL,2011,Kharif,1.0,25.63,1068.7
Bihar,ARWAL,2012,Kharif,1.0,25.48,766.9
Bihar,AURANGABAD,2008,Kharif,0.8611111111111112,25.67,599.8
Bihar,AURANGABAD,2009,Kharif,0.9090909090909091,26.41,509.90000000000003
Bihar,AURANGABAD,2010,Kharif,0.8305084745762712,26.4,1286.5
Bihar,AURANGABAD,2011,Kharif,0.8035714285714286,25.63,1531.8
Bihar,AURANGABAD,2011,Kharif,1.0,25.63,1531.8
Bihar,AURANGABAD,2012,Kharif,0.5357142857142857,25.48,1262.5
Bihar,AURANGABAD,2013,Kharif,1.1777777777777778,25.3,1166.3
Bihar,AURANGABAD,2014,Kharif,0.21951219512195122,25.34,935.7
Bihar,BEGUSARAI,2011,Kharif,1.0,25.63,1172.3
Bihar,BEGUSARAI,2012,Kharif,1.0,25.48,639.0999999999999
Bihar,BEGUSARAI,2013,Kharif,1.0,25.3,542.4
Bihar,BEGUSARAI,2014,Kharif,1.0,25.34,1370.8
Bihar,GAYA,2008,Kharif,0.49380530973451325,25.67,946.9
Bihar,GAYA,2010,Kharif,1.0,26.4,553.7
Bihar,GAYA,2011,Kharif,1.0,25.63,1191.0
Bihar,GAYA,2012,Kharif,1.0246913580246915,25.48,872.4000000000001
Bihar,GAYA,2013,Kharif,1.0224719101123596,25.3,423.5
Bihar,GAYA,2014,Kharif,1.0194174757281553,25.34,749.8
Bihar,MADHEPURA,2014,Kharif,1.0,25.34,838.1999999999999
Bihar,MUNGER,2010,Kharif,1.0,26.4,1788.9
Bihar,NALANDA,2010,Kharif,1.0,26.4,662.9000000000001
Bihar,NALANDA,2011,Kharif,1.024390243902439,25.63,1391.0
Bihar,NALANDA,2012,Kharif,1.0166666666666666,25.48,919.0999999999999
Bihar,NALANDA,2013,Kharif,1.0,25.3,633.8
Bihar,NALANDA,2014,Kharif,1.02,25.34,892.0
Bihar,NAWADA,2010,Kharif,1.025,26.4,554.4
Bihar,NAWADA,2011,Kharif,1.022,25.63,740.3
Bihar,NAWADA,2012,Kharif,1.0228426395939085,25.48,462.79999999999995
Bihar,NAWADA,2013,Kharif,1.024263431542461,25.3,440.40000000000003
Bihar,NAWADA,2014,Kharif,1.0241545893719808,25.34,669.3000000000001
Bihar,ROHTAS,2008,Kharif,0.49230769230769234,25.67,895.1
Bihar,ROHTAS,2010,Kharif,1.0285714285714285,26.4,654.4
Bihar,ROHTAS,2011,Kharif,1.0,25.63,1027.1
Bihar,ROHTAS,2012,Kharif,1.0,25.48,979.9000000000001
Bihar,ROHTAS,2013,Kharif,1.0,25.3,798.5
Bihar,SITAMARHI,2010,Kharif,1.0282485875706215,26.4,490.3
Bihar,SUPAUL,2011,Kharif,1.0,25.63,1038.4
Bihar,SUPAUL,2012,Kharif,1.0,25.48,757.0999999999999
Bihar,SUPAUL,2013,Kharif,1.0,25.3,1013.0
Bihar,SUPAUL,2014,Kharif,1.0384615384615385,25.34,1058.1
Uttar Pradesh,BALRAMPUR,2009,Kharif,0.6666666666666666,26.59,0.0
Uttar Pradesh,BALRAMPUR,2010,Kharif,1.0,26.63,954.8000000000001
Uttar Pradesh,BALRAMPUR,2011,Kharif,1.2540214477211795,25.85,650.4
Uttar Pradesh,BALRAMPUR,2012,Kharif,1.2503401360544217,25.85,1121.2999999999997
Uttar Pradesh,BALRAMPUR,2013,Kharif,1.2416434540389971,25.62,1174.8
Uttar Pradesh,BALRAMPUR,2014,Kharif,1.3771353482260185,25.65,735.8000000000001
Chhattisgarh,BASTAR,2008,Kharif,1.588235294117647,26.1,1164.1
Chhattisgarh,BASTAR,2009,Kharif,1.6428571428571428,26.89,963.0
Chhattisgarh,BASTAR,2010,Kharif,1.5384615384615385,26.76,1312.7
Chhattisgarh,BASTAR,2012,Kharif,2.0,26.21,1348.1
Chhattisgarh,BASTAR,2013,Kharif,1.0,25.83,1112.3000000000002
Karnataka,BIJAPUR,2008,Kharif,0.5183223645780599,26.1,316.40000000000003
Karnataka,BIJAPUR,2008,Rabi,0.5871154815935451,26.1,197.0
Karnataka,BIJAPUR,2009,Kharif,0.3302977071005917,26.57,591.7
Karnataka,BIJAPUR,2009,Rabi,0.6725949643428905,26.57,308.7
Karnataka,BIJAPUR,2010,Kharif,0.40563804605121584,26.5,1671.7999999999997
Karnataka,BIJAPUR,2010,Rabi,0.6792604948568252,26.5,243.7
Karnataka,BIJAPUR,2011,Kharif,0.2870735669528893,26.16,1329.8
Karnataka,BIJAPUR,2011,Rabi,0.5405325150945264,26.16,148.5
Karnataka,BIJAPUR,2012,Kharif,0.620876415558838,26.39,1945.6000000000001
Karnataka,BIJAPUR,2012,Kharif,0.7001672435922368,26.39,1945.6000000000001
Karnataka,BIJAPUR,2013,Kharif,0.7210523344436289,26.18,2843.0
Karnataka,BIJAPUR,2013,Kharif,0.7485848488498134,26.18,2843.0
Karnataka,BIJAPUR,2014,Kharif,0.6510861731699784,26.41,1901.6
Karnataka,BIJAPUR,2014,Kharif,0.6792351439702655,26.41,1901.6
Himachal Pradesh,BILASPUR,2008,Kharif,1.2878464818763327,10.07,2110.8
Himachal Pradesh,BILASPUR,2009,Kharif,1.567251461988304,10.56,1603.9
Himachal Pradesh,BILASPUR,2010,Kharif,1.4974093264248705,10.66,1732.7
Himachal Pradesh,BILASPUR,2011,Kharif,1.5635305528612997,10.23,1995.3000000000002
Himachal Pradesh,BILASPUR,2012,Kharif,1.275074478649454,10.03,1927.7
Himachal Pradesh,BILASPUR,2013,Kharif,1.290513833992095,10.2,1902.9
Himachal Pradesh,BILASPUR,2014,Kharif,1.2911266201395812,9.91,1673.2
Chhattisgarh,DANTEWADA,2008,Kharif,1.3333333333333333,26.1,1187.4
Chhattisgarh,DANTEWADA,2010,Kharif,1.0,26.76,1456.2
Chhattisgarh,DANTEWADA,2012,Kharif,2.0,26.21,1766.3000000000002
Chhattisgarh,DANTEWADA,2014,Kharif,2.0,26.02,1163.1
Chhattisgarh,DHAMTARI,2008,Kharif,1.125,26.1,878.9
Chhattisgarh,DHAMTARI,2009,Kharif,1.4545454545454546,26.89,967.2
Chhattisgarh,DHAMTARI,2010,Kharif,1.3461538461538463,26.76,1052.8999999999999
Chhattisgarh,DHAMTARI,2011,Kharif,1.4166666666666667,26.06,1041.2
Chhattisgarh,DHAMTARI,2012,Kharif,1.75,26.21,943.2
Chhattisgarh,DHAMTARI,2013,Kharif,1.625,25.83,1214.7
Chhattisgarh,DHAMTARI,2014,Kharif,1.3333333333333333,26.02,1147.6
Chhattisgarh,DURG,2008,Kharif,1.5975975975975976,26.1,4229.5
Chhattisgarh,DURG,2009,Kharif,1.852803738317757,26.89,4124.700000000001
Chhattisgarh,DURG,2010,Kharif,1.7707006369426752,26.76,5815.7
Chhattisgarh,DURG,2011,Kharif,2.0,26.06,5441.099999999999
Chhattisgarh,JANJGIR-CHAMPA,2008,Kharif,1.2846648301193755,26.1,1361.6
Chhattisgarh,JANJGIR-CHAMPA,2009,Kharif,1.5618860510805501,26.89,824.0999999999999
Chhattisgarh,JANJGIR-CHAMPA,2010,Kharif,1.4920802534318902,26.76,1116.6
Chhattisgarh,JANJGIR-CHAMPA,2011,Kharif,1.231106243154436,26.06,1209.6
Chhattisgarh,JANJGIR-CHAMPA,2012,Kharif,1.651851851851852,26.21,1308.8000000000002
Chhattisgarh,JANJGIR-CHAMPA,2013,Kharif,1.413151364764268,25.83,936.9000000000001
Chhattisgarh,JANJGIR-CHAMPA,2014,Kharif,1.6650124069478909,26.02,1031.0
Chhattisgarh,JASHPUR,2008,Kharif,1.293774319066148,26.1,1351.6
Chhattisgarh,JASHPUR,2009,Kharif,1.6282557221783742,26.89,974.5
Chhattisgarh,JASHPUR,2010,Kharif,1.5553091894555309,26.76,992.6999999999999
Chhattisgarh,JASHPUR,2011,Kharif,1.4564476885644768,26.06,1713.4
Chhattisgarh,JASHPUR,2012,Kharif,1.5026138909634055,26.21,1147.6
Chhattisgarh,JASHPUR,2013,Kharif,1.8497768963807635,25.83,678.7
Chhattisgarh,JASHPUR,2014,Kharif,1.5761779478593638,26.02,725.0
Chhattisgarh,KABIRDHAM,2013,Kharif,1.9867109634551494,25.83,759.0
Chhattisgarh,KABIRDHAM,2014,Kharif,1.5875912408759123,26.02,1015.2
Chhattisgarh,KANKER,2008,Kharif,1.8181818181818181,26.1,639.1
Chhattisgarh,KANKER,2009,Kharif,0.0,26.89,840.8000000000001
Chhattisgarh,KANKER,2012,Kharif,1.3333333333333333,26.21,1313.3
Chhattisgarh,KORBA,2008,Kharif,1.0934256055363323,26.1,1221.1
Chhattisgarh,KORBA,2009,Kharif,1.297872340425532,26.89,800.0
Chhattisgarh,KORBA,2010,Kharif,1.2413793103448276,26.76,1043.7
Chhattisgarh,KORBA,2011,Kharif,1.0249110320284698,26.06,1462.6
Chhattisgarh,KORBA,2012,Kharif,1.044378698224852,26.21,1281.0
Chhattisgarh,KORBA,2013,Kharif,1.4193548387096775,25.83,946.3
Chhattisgarh,KORBA,2014,Kharif,1.2448979591836735,26.02,1100.3
Chhattisgarh,MAHASAMUND,2008,Kharif,1.1926685198054203,26.1,924.5
Chhattisgarh,MAHASAMUND,2009,Kharif,1.2921420536718624,26.89,1174.0
Chhattisgarh,MAHASAMUND,2010,Kharif,1.2345397048489108,26.76,1081.5
Chhattisgarh,MAHASAMUND,2011,Kharif,1.3083109919571045,26.06,1278.1
Chhattisgarh,MAHASAMUND,2012,Kharif,1.5235942867474237,26.21,1434.8
Chhattisgarh,MAHASAMUND,2013,Kharif,1.5031657355679702,25.83,1332.1
