State,District,Year,Season,Produce,Temperature,Rainfall
Andhra Pradesh,ANANTAPUR,2008,Rabi,0.35714285714285715,27.89,316.5
Andhra Pradesh,ANANTAPUR,2012,Kharif,0.42857142857142855,28.06,292.0
Andhra Pradesh,ANANTAPUR,2013,Kharif,0.42857142857142855,27.78,351.0
Andhra Pradesh,ANANTAPUR,2013,Whole Year,0.42857142857142855,27.78,501.69999999999993
Andhra Pradesh,CHITTOOR,2010,Rabi,0.0,28.25,425.0
Andhra Pradesh,CHITTOOR,2011,Rabi,0.18181818181818182,27.81,377.5
Andhra Pradesh,GUNTUR,2010,Rabi,0.23357664233576642,28.25,374.0
Andhra Pradesh,KRISHNA,2008,Rabi,0.42857142857142855,27.89,815.2
Andhra Pradesh,KRISHNA,2010,Rabi,0.2,28.25,872.6000000000001
Assam,BAKSA,2011,Rabi,0.6436597110754414,23.53,0.0
Assam,BAKSA,2012,Rabi,0.6375,23.05,236.1
Assam,BAKSA,2013,Rabi,0.4393305439330544,23.14,146.70000000000002
Assam,BAKSA,2014,Rabi,0.7450549450549451,23.52,46.5
Assam,BARPETA,2008,Rabi,0.5502342529932327,23.45,278.9
Assam,BARPETA,2009,Rabi,0.5498960498960499,24.21,268.5
Assam,BARPETA,2010,Rabi,0.5496794871794872,24.05,135.7
Assam,BARPETA,2011,Rabi,0.6085805084745762,23.53,176.39999999999998
Assam,BARPETA,2012,Rabi,0.6562671045429667,23.05,205.5
Assam,BARPETA,2013,Rabi,0.5965639810426541,23.14,159.20000000000002
Assam,BARPETA,2014,Rabi,0.7675675675675676,23.52,56.3
Assam,BONGAIGAON,2008,Rabi,0.4262734584450402,23.45,257.2
Assam,BONGAIGAON,2009,Rabi,0.42777777777777776,24.21,245.89999999999998
Assam,BONGAIGAON,2010,Rabi,0.44814814814814813,24.05,178.1
Assam,BONGAIGAON,2011,Rabi,0.45714285714285713,23.53,232.4
Assam,BONGAIGAON,2012,Rabi,0.48148148148148145,23.05,254.2
Assam,BONGAIGAON,2013,Rabi,0.5198412698412699,23.14,217.29999999999998
Assam,BONGAIGAON,2014,Rabi,0.5339366515837104,23.52,46.7
Assam,CACHAR,2008,Rabi,0.4666666666666667,23.45,421.59999999999997
Assam,CACHAR,2009,Rabi,0.45161290322580644,24.21,265.20000000000005
Assam,CACHAR,2010,Rabi,0.44,24.05,508.49999999999994
Assam,CACHAR,2011,Rabi,0.56,23.53,187.5
Assam,CACHAR,2012,Rabi,0.5384615384615384,23.05,369.2
Assam,CACHAR,2013,Rabi,0.5,23.14,262.0
Assam,CACHAR,2014,Rabi,0.6296296296296297,23.52,134.89999999999998
Assam,CHIRANG,2010,Rabi,0.44052863436123346,24.05,49.599999999999994
Assam,CHIRANG,2011,Rabi,0.4684014869888476,23.53,157.20000000000002
Assam,CHIRANG,2012,Rabi,0.5024630541871922,23.05,174.5
Assam,CHIRANG,2013,Rabi,0.6649746192893401,23.14,187.7
Assam,CHIRANG,2014,Rabi,0.5873015873015873,23.52,108.9
Assam,DARRANG,2008,Rabi,0.5239005736137667,23.45,205.4
Assam,DARRANG,2009,Rabi,0.5238095238095238,24.21,132.1
Assam,DARRANG,2012,Rabi,0.6333333333333333,23.05,486.0
