State,District,Year,Season,Produce,Temperature,Rainfall
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi,1.1118800461361016,27.81,880.2
Andhra Pradesh,ANANTAPUR,2008,Kharif,3.4590299619268334,27.89,487.59999999999997
Andhra Pradesh,ANANTAPUR,2008,Rabi,8.829961727720066,27.89,316.5
Andhra Pradesh,ANANTAPUR,2009,Kharif,4.962042476276547,28.43,364.99999999999994
Andhra Pradesh,ANANTAPUR,2009,Rabi,7.3100758396533045,28.43,136.5
Andhra Pradesh,ANANTAPUR,2010,Kharif,4.771023680775685,28.25,431.70000000000005
Andhra Pradesh,ANANTAPUR,2010,Rabi,9.117052631578947,28.25,268.8
Andhra Pradesh,ANANTAPUR,2011,Kharif,2.494007152120093,27.81,286.4
Andhra Pradesh,ANANTAPUR,2011,Rabi,7.759020618556701,27.81,111.39999999999999
Andhra Pradesh,ANANTAPUR,2012,Kharif,2.8819819411044056,28.06,292.0
Andhra Pradesh,ANANTAPUR,2012,Rabi,7.085997171145686,28.06,141.7
Andhra Pradesh,ANANTAPUR,2013,Kharif,1.9650016613135453,27.78,351.0
Andhra Pradesh,ANANTAPUR,2013,Rabi,7.454031117397454,27.78,99.3
Andhra Pradesh,ANANTAPUR,2014,Kharif,2.5350080171031535,28.02,213.5
Andhra Pradesh,ANANTAPUR,2014,Rabi,7.067054090299508,28.02,139.5
Andhra Pradesh,CHITTOOR,2008,Kharif,4.670225385527877,27.89,366.49999999999994
Andhra Pradesh,CHITTOOR,2008,Rabi,8.829676071055381,27.89,505.2
Andhra Pradesh,CHITTOOR,2009,Kharif,3.706636500754148,28.43,398.09999999999997
Andhra Pradesh,CHITTOOR,2009,Rabi,7.309328968903437,28.43,296.4
Andhra Pradesh,CHITTOOR,2010,Kharif,5.122680412371134,28.25,530.1
Andhra Pradesh,CHITTOOR,2010,Rabi,9.116883116883116,28.25,425.0
Andhra Pradesh,CHITTOOR,2011,Kharif,3.3161290322580643,27.81,507.09999999999997
Andhra Pradesh,CHITTOOR,2011,Rabi,7.759407069555302,27.81,377.5
Andhra Pradesh,CHITTOOR,2012,Kharif,4.058441558441558,28.06,432.5
Andhra Pradesh,CHITTOOR,2012,Rabi,7.085923217550274,28.06,459.2
Andhra Pradesh,CHITTOOR,2013,Kharif,4.033070866141732,27.78,447.79999999999995
Andhra Pradesh,CHITTOOR,2013,Rabi,7.454336147352264,27.78,329.09999999999997
Andhra Pradesh,CHITTOOR,2014,Kharif,3.2751578165614554,28.02,314.40000000000003
Andhra Pradesh,CHITTOOR,2014,Rabi,6.533536585365853,28.02,218.79999999999998
Andhra Pradesh,EAST GODAVARI,2008,Kharif,3.2172284644194757,27.89,768.0
Andhra Pradesh,EAST GODAVARI,2008,Rabi,7.461935876006686,27.89,296.59999999999997
Andhra Pradesh,EAST GODAVARI,2009,Kharif,3.6083418107833163,28.43,440.79999999999995
Andhra Pradesh,EAST GODAVARI,2009,Rabi,7.4729544034978135,28.43,117.1
Andhra Pradesh,EAST GODAVARI,2010,Kharif,2.9829424307036247,28.25,936.6
