State,District,Year,Season,Produce,Temperature,Rainfall
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi,0.47625363683039534,27.81,880.2
Andhra Pradesh,ANANTAPUR,2008,Kharif,0.38950715421303655,27.89,487.59999999999997
Andhra Pradesh,ANANTAPUR,2009,Kharif,0.25669642857142855,28.43,364.99999999999994
Andhra Pradesh,ANANTAPUR,2009,Rabi,0.375,28.43,136.5
Andhra Pradesh,ANANTAPUR,2010,Kharif,0.3173198482932996,28.25,431.70000000000005
Andhra Pradesh,ANANTAPUR,2010,Rabi,0.3493975903614458,28.25,268.8
Andhra Pradesh,ANANTAPUR,2011,Kharif,0.6420382165605095,27.81,286.4
Andhra Pradesh,ANANTAPUR,2011,Rabi,0.5984848484848485,27.81,111.39999999999999
Andhra Pradesh,ANANTAPUR,2012,Kharif,0.553014553014553,28.06,292.0
Andhra Pradesh,ANANTAPUR,2012,Rabi,0.6752136752136753,28.06,141.7
Andhra Pradesh,ANANTAPUR,2013,Kharif,1.1101871101871101,27.78,351.0
Andhra Pradesh,ANANTAPUR,2013,Rabi,0.627906976744186,27.78,99.3
Andhra Pradesh,ANANTAPUR,2014,Kharif,1.2331136738056012,28.02,213.5
Andhra Pradesh,ANANTAPUR,2014,Rabi,0.8208191126279863,28.02,139.5
Andhra Pradesh,CHITTOOR,2008,Kharif,0.3900414937759336,27.89,366.49999999999994
Andhra Pradesh,CHITTOOR,2008,Rabi,0.3403141361256545,27.89,505.2
Andhra Pradesh,CHITTOOR,2009,Kharif,0.2562396006655574,28.43,398.09999999999997
Andhra Pradesh,CHITTOOR,2009,Rabi,0.39622641509433965,28.43,296.4
Andhra Pradesh,CHITTOOR,2010,Kharif,0.31715976331360946,28.25,530.1
Andhra Pradesh,CHITTOOR,2010,Rabi,0.3522388059701492,28.25,425.0
Andhra Pradesh,CHITTOOR,2011,Kharif,0.642292490118577,27.81,507.09999999999997
Andhra Pradesh,CHITTOOR,2011,Rabi,0.5962962962962963,27.81,377.5
Andhra Pradesh,CHITTOOR,2012,Kharif,0.5526992287917738,28.06,432.5
Andhra Pradesh,CHITTOOR,2012,Rabi,0.673728813559322,28.06,459.2
Andhra Pradesh,CHITTOOR,2013,Kharif,1.1092592592592592,27.78,447.79999999999995
Andhra Pradesh,CHITTOOR,2013,Rabi,0.6245487364620939,27.78,329.09999999999997
Andhra Pradesh,CHITTOOR,2014,Kharif,1.232409381663113,28.02,314.40000000000003
Andhra Pradesh,CHITTOOR,2014,Rabi,0.8203125,28.02,218.79999999999998
Andhra Pradesh,EAST GODAVARI,2008,Kharif,0.39365079365079364,27.89,768.0
Andhra Pradesh,EAST GODAVARI,2008,Rabi,0.2759942171328912,27.89,296.59999999999997
Andhra Pradesh,EAST GODAVARI,2009,Kharif,0.17800289435600578,28.43,440.79999999999995
Andhra Pradesh,EAST GODAVARI,2009,Rabi,0.25399122397535245,28.43,117.1
Andhra Pradesh,EAST GODAVARI,2010,Kharif,0.24914675767918087,28.25,936.6
Andhra Pradesh,EAST GODAVARI,2010,Rabi,0.11798578412260445,28.25,786.6
Andhra Pradesh,EAST GODAVARI,2011,Kharif,0.5835411471321695,27.81,627.4
Andhra Pradesh,EAST GODAVARI,2011,Rabi,0.3929971650883648,27.81,117.0
Andhra Pradesh,EAST GODAVARI,2012,Kharif,0.44649446494464945,28.06,934.1
Andhra Pradesh,EAST GODAVARI,2012,Rabi,0.4480014534883721,28.06,460.0
Andhra Pradesh,EAST GODAVARI,2013,Kharif,0.4095238095238095,27.78,472.69999999999993
Andhra Pradesh,EAST GODAVARI,2013,Rabi,0.23497879084510326,27.78,569.1999999999999
Andhra Pradesh,EAST GODAVARI,2014,Kharif,0.6708074534161491,28.02,397.3
Andhra Pradesh,EAST GODAVARI,2014,Rabi,0.36497161194766725,28.02,118.5
