State,District,Year,Season,Produce,Temperature,Rainfall
Andhra Pradesh,ANANTAPUR,2008,Kharif,17.101017441860463,27.89,487.59999999999997
Andhra Pradesh,ANANTAPUR,2008,Rabi,23.86705202312139,27.89,316.5
Andhra Pradesh,ANANTAPUR,2009,Kharif,17.926037282020445,28.43,364.99999999999994
Andhra Pradesh,ANANTAPUR,2009,Rabi,24.630434782608695,28.43,136.5
Andhra Pradesh,ANANTAPUR,2010,Kharif,16.619753086419752,28.25,431.70000000000005
Andhra Pradesh,ANANTAPUR,2010,Rabi,26.905228758169933,28.25,268.8
Andhra Pradesh,ANANTAPUR,2011,Kharif,14.350018135654697,27.81,286.4
Andhra Pradesh,ANANTAPUR,2011,Rabi,20.47596153846154,27.81,111.39999999999999
Andhra Pradesh,ANANTAPUR,2012,Kharif,16.40374677002584,28.06,292.0
Andhra Pradesh,ANANTAPUR,2012,Rabi,14.226190476190476,28.06,141.7
Andhra Pradesh,ANANTAPUR,2013,Kharif,21.992220650636494,27.78,351.0
Andhra Pradesh,ANANTAPUR,2013,Rabi,23.432078559738134,27.78,99.3
Andhra Pradesh,ANANTAPUR,2014,Kharif,17.884205180294565,28.02,213.5
Andhra Pradesh,ANANTAPUR,2014,Rabi,22.784511784511785,28.02,139.5
Andhra Pradesh,CHITTOOR,2008,Kharif,16.802768166089965,27.89,366.49999999999994
Andhra Pradesh,CHITTOOR,2008,Rabi,23.86549707602339,27.89,505.2
Andhra Pradesh,CHITTOOR,2009,Kharif,16.19289340101523,28.43,398.09999999999997
Andhra Pradesh,CHITTOOR,2009,Rabi,24.631901840490798,28.43,296.4
Andhra Pradesh,CHITTOOR,2010,Kharif,19.859550561797754,28.25,530.1
Andhra Pradesh,CHITTOOR,2010,Rabi,26.908163265306122,28.25,425.0
Andhra Pradesh,CHITTOOR,2011,Kharif,14.411111111111111,27.81,507.09999999999997
Andhra Pradesh,CHITTOOR,2011,Rabi,20.474489795918366,27.81,377.5
Andhra Pradesh,CHITTOOR,2012,Kharif,19.091503267973856,28.06,432.5
Andhra Pradesh,CHITTOOR,2012,Rabi,14.22279792746114,28.06,459.2
Andhra Pradesh,CHITTOOR,2013,Kharif,18.82941176470588,27.78,447.79999999999995
Andhra Pradesh,CHITTOOR,2013,Rabi,23.43083003952569,27.78,329.09999999999997
Andhra Pradesh,CHITTOOR,2014,Kharif,18.359504132231404,28.02,314.40000000000003
Andhra Pradesh,CHITTOOR,2014,Rabi,22.78391959798995,28.02,218.79999999999998
Andhra Pradesh,EAST GODAVARI,2008,Kharif,16.804371584699453,27.89,768.0
Andhra Pradesh,EAST GODAVARI,2008,Rabi,9.625,27.89,296.59999999999997
Andhra Pradesh,EAST GODAVARI,2009,Kharif,16.193612774451097,28.43,440.79999999999995
Andhra Pradesh,EAST GODAVARI,2009,Rabi,25.384615384615383,28.43,117.1
Andhra Pradesh,EAST GODAVARI,2010,Kharif,19.859025032938078,28.25,936.6
Andhra Pradesh,EAST GODAVARI,2010,Rabi,13.11111111111111,28.25,786.6
Andhra Pradesh,EAST GODAVARI,2011,Kharif,14.412128712871286,27.81,627.4
Andhra Pradesh,EAST GODAVARI,2011,Rabi,25.605263157894736,27.81,117.0
Andhra Pradesh,EAST GODAVARI,2012,Kharif,19.091407678244973,28.06,934.1
Andhra Pradesh,EAST GODAVARI,2012,Rabi,22.0,28.06,460.0
Andhra Pradesh,EAST GODAVARI,2013,Kharif,18.830252100840337,27.78,472.69999999999993
Andhra Pradesh,EAST GODAVARI,2013,Rabi,18.5,27.78,569.1999999999999
Andhra Pradesh,EAST GODAVARI,2014,Kharif,18.36056838365897,28.02,397.3
Andhra Pradesh,EAST GODAVARI,2014,Rabi,17.666666666666668,28.02,118.5
Andhra Pradesh,GUNTUR,2008,Kharif,16.80438184663537,27.89,650.0
Andhra Pradesh,GUNTUR,2008,Rabi,20.023809523809526,27.89,306.70000000000005
Andhra Pradesh,GUNTUR,2009,Kharif,16.193637621023512,28.43,429.8
Andhra Pradesh,GUNTUR,2009,Rabi,26.7,28.43,158.79999999999998
Andhra Pradesh,GUNTUR,2010,Kharif,19.859450726979,28.25,936.6
Andhra Pradesh,GUNTUR,2010,Rabi,4.936567164179104,28.25,374.0
Andhra Pradesh,GUNTUR,2011,Kharif,14.411887382690303,27.81,495.7
Andhra Pradesh,GUNTUR,2012,Kharif,19.091310751104565,28.06,590.2
Andhra Pradesh,GUNTUR,2012,Rabi,9.181818181818182,28.06,394.79999999999995
Andhra Pradesh,GUNTUR,2013,Kharif,18.831746031746032,27.78,607.6
Andhra Pradesh,GUNTUR,2013,Rabi,18.526315789473685,27.78,502.20000000000005
Andhra Pradesh,GUNTUR,2014,Kharif,18.360294117647058,28.02,411.2
Andhra Pradesh,GUNTUR,2014,Rabi,17.675,28.02,204.7
Andhra Pradesh,KRISHNA,2008,Kharif,16.806451612903224,27.89,1369.3000000000002
Andhra Pradesh,KRISHNA,2008,Rabi,9.633333333333333,27.89,815.2
Andhra Pradesh,KRISHNA,2009,Kharif,16.142857142857142,28.43,911.2
Andhra Pradesh,KRISHNA,2009,Rabi,25.384615384615383,28.43,420.8
Andhra Pradesh,KRISHNA,2010,Kharif,20.0,28.25,1487.0
Andhra Pradesh,KRISHNA,2010,Rabi,13.0625,28.25,872.6000000000001
Andhra Pradesh,KRISHNA,2011,Kharif,14.428571428571429,27.81,999.2
Andhra Pradesh,KRISHNA,2011,Rabi,25.6,27.81,501.3
Andhra Pradesh,KRISHNA,2012,Kharif,19.0,28.06,1167.6
Andhra Pradesh,KRISHNA,2012,Rabi,22.0,28.06,812.2
Andhra Pradesh,KRISHNA,2013,Rabi,18.5,27.78,786.5000000000001
Andhra Pradesh,KRISHNA,2014,Rabi,17.692307692307693,28.02,446.6
Andhra Pradesh,KURNOOL,2008,Kharif,17.779986706145387,27.89,409.2
Andhra Pradesh,KURNOOL,2008,Rabi,24.655913978494624,27.89,264.79999999999995
Andhra Pradesh,KURNOOL,2009,Kharif,17.5840063455437,28.43,429.1
Andhra Pradesh,KURNOOL,2009,Rabi,24.20907840440165,28.43,271.3
Andhra Pradesh,KURNOOL,2010,Kharif,22.0979754601227,28.25,618.7
Andhra Pradesh,KURNOOL,2010,Rabi,27.920039814200397,28.25,144.3
Andhra Pradesh,KURNOOL,2011,Kharif,14.645993458708094,27.81,356.2
Andhra Pradesh,KURNOOL,2011,Rabi,27.830134748877093,27.81,79.7
Andhra Pradesh,KURNOOL,2012,Kharif,19.52200120554551,28.06,421.90000000000003
Andhra Pradesh,KURNOOL,2012,Rabi,18.51197053406998,28.06,117.5
Andhra Pradesh,KURNOOL,2013,Kharif,20.04698883764454,27.78,485.7
Andhra Pradesh,KURNOOL,2013,Rabi,29.066073102155578,27.78,140.0
Andhra Pradesh,KURNOOL,2014,Kharif,19.176979871670916,28.02,446.1
