State,District,Year,Season,Produce,Temperature,Rainfall
Andhra Pradesh,ANANTAPUR,2010,Whole Year,11.238095238095237,28.25,853.8000000000001
Andhra Pradesh,ANANTAPUR,2011,Whole Year,10.055555555555555,27.81,508.80000000000007
Andhra Pradesh,ANANTAPUR,2012,Rabi,17.61111111111111,28.06,141.7
Andhra Pradesh,ANANTAPUR,2013,Whole Year,14.378048780487806,27.78,501.69999999999993
Andhra Pradesh,ANANTAPUR,2014,Kharif,18.733333333333334,28.02,213.5
Andhra Pradesh,ANANTAPUR,2014,Rabi,18.727272727272727,28.02,139.5
Andhra Pradesh,CHITTOOR,2008,Whole Year,9.018922852983989,27.89,953.3000000000001
Andhra Pradesh,CHITTOOR,2009,Whole Year,8.62981455064194,28.43,754.3999999999999
Andhra Pradesh,CHITTOOR,2010,Whole Year,9.505272407732864,28.25,1079.5
Andhra Pradesh,CHITTOOR,2011,Whole Year,13.211120764552563,27.81,978.1
Andhra Pradesh,CHITTOOR,2012,Kharif,15.075,28.06,432.5
Andhra Pradesh,CHITTOOR,2012,Rabi,15.075739644970414,28.06,459.2
Andhra Pradesh,CHITTOOR,2013,Whole Year,17.676175790285274,27.78,855.9999999999999
Andhra Pradesh,CHITTOOR,2014,Kharif,17.172185430463575,28.02,314.40000000000003
Andhra Pradesh,CHITTOOR,2014,Rabi,17.172826086956523,28.02,218.79999999999998
Andhra Pradesh,KURNOOL,2008,Whole Year,9.0,27.89,708.6000000000001
Andhra Pradesh,KURNOOL,2009,Whole Year,8.625,28.43,767.8999999999999
Andhra Pradesh,KURNOOL,2010,Whole Year,11.214285714285714,28.25,823.2
Andhra Pradesh,KURNOOL,2011,Whole Year,10.03125,27.81,482.1
Andhra Pradesh,KURNOOL,2012,Rabi,17.6,28.06,117.5
Andhra Pradesh,KURNOOL,2013,Whole Year,14.352941176470589,27.78,703.4000000000001
Andhra Pradesh,KURNOOL,2014,Rabi,17.285714285714285,28.02,126.2
Andhra Pradesh,SRIKAKULAM,2014,Kharif,17.3,28.02,805.8
Andhra Pradesh,VIZIANAGARAM,2010,Whole Year,11.0,28.25,1647.9
Andhra Pradesh,VIZIANAGARAM,2012,Rabi,17.59259259259259,28.06,457.2
Arunachal Pradesh,ANJAW,2011,Whole Year,8.914529914529915,18.84,0.0
Arunachal Pradesh,ANJAW,2012,Whole Year,8.516666666666667,18.6,0.0
Arunachal Pradesh,ANJAW,2013,Whole Year,8.516666666666667,18.73,309.80000000000007
Arunachal Pradesh,ANJAW,2014,Whole Year,4.181818181818182,19.02,1252.7
Arunachal Pradesh,CHANGLANG,2008,Whole Year,6.0,18.68,1298.5
Arunachal Pradesh,CHANGLANG,2009,Whole Year,6.492307692307692,19.51,1306.8
Arunachal Pradesh,CHANGLANG,2010,Whole Year,6.330357142857143,19.24,1917.6999999999998
Arunachal Pradesh,CHANGLANG,2011,Whole Year,6.647058823529412,18.84,1399.1999999999998
Arunachal Pradesh,CHANGLANG,2012,Whole Year,6.504761904761905,18.6,2228.8999999999996
Arunachal Pradesh,CHANGLANG,2013,Whole Year,6.5,18.73,1846.3999999999999
Arunachal Pradesh,CHANGLANG,2014,Whole Year,8.534883720930232,19.02,1716.6999999999998
Arunachal Pradesh,DIBANG VALLEY,2008,Whole Year,6.354166666666667,18.68,1580.2
Arunachal Pradesh,DIBANG VALLEY,2009,Whole Year,6.354166666666667,19.51,1732.8
Arunachal Pradesh,DIBANG VALLEY,2010,Whole Year,5.5,19.24,56.1
Arunachal Pradesh,DIBANG VALLEY,2011,Whole Year,5.7924528301886795,18.84,0.0
Arunachal Pradesh,DIBANG VALLEY,2012,Whole Year,5.863636363636363,18.6,8210.800000000001
