State,District,Year,Season,Produce,Temperature,Rainfall
Andhra Pradesh,ANANTAPUR,2008,Kharif,0.7857142857142857,27.89,487.59999999999997
Andhra Pradesh,ANANTAPUR,2009,Kharif,0.06028708133971292,28.43,364.99999999999994
Andhra Pradesh,ANANTAPUR,2010,Kharif,0.9299191374663073,28.25,431.70000000000005
Andhra Pradesh,ANANTAPUR,2011,Kharif,0.6538461538461539,27.81,286.4
Andhra Pradesh,ANANTAPUR,2011,Rabi,0.7,27.81,111.39999999999999
Andhra Pradesh,ANANTAPUR,2012,Kharif,1.201042442293373,28.06,292.0
Andhra Pradesh,ANANTAPUR,2012,Rabi,1.2,28.06,141.7
Andhra Pradesh,ANANTAPUR,2013,Kharif,0.9155080213903743,27.78,351.0
Andhra Pradesh,ANANTAPUR,2013,Rabi,0.9090909090909091,27.78,99.3
Andhra Pradesh,ANANTAPUR,2014,Kharif,0.8769898697539797,28.02,213.5
Andhra Pradesh,ANANTAPUR,2014,Rabi,0.8723404255319149,28.02,139.5
Andhra Pradesh,CHITTOOR,2008,Kharif,0.2841981132075472,27.89,366.49999999999994
Andhra Pradesh,CHITTOOR,2009,Kharif,0.31828193832599116,28.43,398.09999999999997
Andhra Pradesh,CHITTOOR,2010,Kharif,0.28846153846153844,28.25,530.1
Andhra Pradesh,CHITTOOR,2011,Kharif,0.33773087071240104,27.81,507.09999999999997
Andhra Pradesh,CHITTOOR,2012,Kharif,0.29385964912280704,28.06,432.5
Andhra Pradesh,CHITTOOR,2013,Kharif,0.30679156908665106,27.78,447.79999999999995
Andhra Pradesh,CHITTOOR,2014,Kharif,0.39591836734693875,28.02,314.40000000000003
Andhra Pradesh,EAST GODAVARI,2008,Kharif,0.39485981308411217,27.89,768.0
Andhra Pradesh,EAST GODAVARI,2009,Kharif,0.4751131221719457,28.43,440.79999999999995
Andhra Pradesh,EAST GODAVARI,2010,Kharif,0.9879518072289156,28.25,936.6
Andhra Pradesh,EAST GODAVARI,2011,Kharif,0.615686274509804,27.81,627.4
Andhra Pradesh,EAST GODAVARI,2012,Kharif,0.5964125560538116,28.06,934.1
Andhra Pradesh,EAST GODAVARI,2013,Kharif,0.5081967213114754,27.78,472.69999999999993
Andhra Pradesh,EAST GODAVARI,2014,Kharif,0.5543710021321961,28.02,397.3
Andhra Pradesh,GUNTUR,2009,Rabi,0.9404761904761905,28.43,158.79999999999998
Andhra Pradesh,GUNTUR,2013,Kharif,1.25,27.78,607.6
Andhra Pradesh,KURNOOL,2008,Kharif,0.781941371681416,27.89,409.2
Andhra Pradesh,KURNOOL,2008,Rabi,0.7787610619469026,27.89,264.79999999999995
Andhra Pradesh,KURNOOL,2009,Kharif,0.005348546978070958,28.43,429.1
Andhra Pradesh,KURNOOL,2009,Rabi,0.5365853658536586,28.43,271.3
Andhra Pradesh,KURNOOL,2010,Kharif,0.9289600657016733,28.25,618.7
Andhra Pradesh,KURNOOL,2010,Rabi,0.9292682926829269,28.25,144.3
Andhra Pradesh,KURNOOL,2011,Kharif,0.6539522058823529,27.81,356.2
Andhra Pradesh,KURNOOL,2011,Rabi,0.6542056074766355,27.81,79.7
Andhra Pradesh,KURNOOL,2012,Kharif,1.2009949710701346,28.06,421.90000000000003
Andhra Pradesh,KURNOOL,2012,Rabi,1.2018072289156627,28.06,117.5
Andhra Pradesh,KURNOOL,2013,Kharif,0.9159587926983553,27.78,485.7
Andhra Pradesh,KURNOOL,2013,Rabi,0.9166666666666666,27.78,140.0
Andhra Pradesh,KURNOOL,2014,Kharif,0.8769645262685227,28.02,446.1
Andhra Pradesh,KURNOOL,2014,Rabi,0.8768115942028986,28.02,126.2
Andhra Pradesh,PRAKASAM,2008,Kharif,1.111731843575419,27.89,295.3
Andhra Pradesh,PRAKASAM,2008,Rabi,0.726027397260274,27.89,636.0
Andhra Pradesh,PRAKASAM,2009,Kharif,0.5849056603773585,28.43,297.20000000000005
Andhra Pradesh,PRAKASAM,2009,Rabi,0.9402823018458197,28.43,293.6
Andhra Pradesh,PRAKASAM,2010,Kharif,1.7372549019607844,28.25,614.0
Andhra Pradesh,PRAKASAM,2010,Rabi,1.061377245508982,28.25,522.6
Andhra Pradesh,PRAKASAM,2011,Kharif,2.0,27.81,273.09999999999997
Andhra Pradesh,PRAKASAM,2011,Rabi,0.9698189134808853,27.81,249.6
Andhra Pradesh,PRAKASAM,2012,Kharif,1.9471733086190917,28.06,381.59999999999997
Andhra Pradesh,PRAKASAM,2012,Rabi,0.8418945963975984,28.06,456.7
