State,District,Year,Season,Produce,Temperature,Rainfall
Andhra Pradesh,ANANTAPUR,2008,Whole Year,93.93129770992367,27.89,867.1000000000001
Andhra Pradesh,ANANTAPUR,2009,Whole Year,89.0,28.43,585.3
Andhra Pradesh,ANANTAPUR,2010,Whole Year,89.28085106382979,28.25,853.8000000000001
Andhra Pradesh,ANANTAPUR,2011,Whole Year,95.57560975609756,27.81,508.80000000000007
Andhra Pradesh,ANANTAPUR,2012,Kharif,91.5,28.06,292.0
Andhra Pradesh,ANANTAPUR,2013,Kharif,94.32384341637011,27.78,351.0
Andhra Pradesh,ANANTAPUR,2014,Kharif,81.86666666666666,28.02,213.5
Andhra Pradesh,CHITTOOR,2008,Whole Year,84.10908010105513,27.89,953.3000000000001
Andhra Pradesh,CHITTOOR,2009,Whole Year,83.1493766778215,28.43,754.3999999999999
Andhra Pradesh,CHITTOOR,2010,Whole Year,83.38475413975974,28.25,1079.5
Andhra Pradesh,CHITTOOR,2011,Whole Year,90.72719591621194,27.81,978.1
Andhra Pradesh,CHITTOOR,2012,Kharif,88.63701700704476,28.06,432.5
Andhra Pradesh,CHITTOOR,2013,Kharif,91.03882495026997,27.78,447.79999999999995
Andhra Pradesh,CHITTOOR,2014,Kharif,79.05251080429878,28.02,314.40000000000003
Andhra Pradesh,EAST GODAVARI,2008,Whole Year,85.28413772807534,27.89,1123.5
Andhra Pradesh,EAST GODAVARI,2009,Whole Year,93.53883629010019,28.43,607.6999999999999
Andhra Pradesh,EAST GODAVARI,2010,Whole Year,83.24810359359437,28.25,1908.7999999999997
Andhra Pradesh,EAST GODAVARI,2011,Whole Year,84.76462196861627,27.81,854.6
Andhra Pradesh,EAST GODAVARI,2012,Kharif,79.89611043209433,28.06,934.1
Andhra Pradesh,EAST GODAVARI,2013,Kharif,84.09764018185754,27.78,472.69999999999993
Andhra Pradesh,EAST GODAVARI,2014,Kharif,85.1608222490931,28.02,397.3
Andhra Pradesh,GUNTUR,2008,Whole Year,75.33070866141732,27.89,964.4999999999999
Andhra Pradesh,GUNTUR,2009,Whole Year,100.74083129584352,28.43,643.6
Andhra Pradesh,GUNTUR,2010,Whole Year,85.27533039647577,28.25,1485.1
Andhra Pradesh,GUNTUR,2011,Whole Year,104.00413650465357,27.81,660.1999999999999
Andhra Pradesh,GUNTUR,2012,Kharif,93.87783595113439,28.06,590.2
Andhra Pradesh,GUNTUR,2013,Kharif,102.85714285714286,27.78,607.6
Andhra Pradesh,GUNTUR,2014,Kharif,98.08936170212766,28.02,411.2
Andhra Pradesh,KRISHNA,2008,Whole Year,95.36534873389604,27.89,2314.3999999999996
Andhra Pradesh,KRISHNA,2009,Whole Year,87.3597008637034,28.43,1642.8
Andhra Pradesh,KRISHNA,2010,Whole Year,94.63057482656095,28.25,2809.5000000000005
Andhra Pradesh,KRISHNA,2011,Whole Year,101.2144283574638,27.81,1775.3000000000002
Andhra Pradesh,KRISHNA,2012,Kharif,88.15931985883863,28.06,1167.6
Andhra Pradesh,KRISHNA,2013,Kharif,89.79501333498729,27.78,1071.5
Andhra Pradesh,KRISHNA,2014,Kharif,83.79077696034452,28.02,648.6999999999999
Andhra Pradesh,KURNOOL,2008,Whole Year,89.8436018957346,27.89,708.6000000000001
Andhra Pradesh,KURNOOL,2009,Whole Year,82.61593172119488,28.43,767.8999999999999
Andhra Pradesh,KURNOOL,2010,Whole Year,97.18757192174914,28.25,823.2
Andhra Pradesh,KURNOOL,2011,Whole Year,101.78781725888325,27.81,482.1
Andhra Pradesh,KURNOOL,2012,Kharif,94.35899182561307,28.06,421.90000000000003
Andhra Pradesh,KURNOOL,2013,Kharif,107.08388814913448,27.78,485.7
Andhra Pradesh,KURNOOL,2014,Kharif,116.79411764705883,28.02,446.1
Andhra Pradesh,PRAKASAM,2008,Whole Year,80.0,27.89,937.7
Andhra Pradesh,PRAKASAM,2009,Whole Year,74.0,28.43,635.1
Andhra Pradesh,PRAKASAM,2010,Whole Year,82.0,28.25,1402.9999999999998
Andhra Pradesh,PRAKASAM,2011,Whole Year,81.0,27.81,569.8000000000001
Andhra Pradesh,PRAKASAM,2012,Kharif,76.90922844175492,28.06,381.59999999999997
Andhra Pradesh,PRAKASAM,2013,Kharif,78.9479940564636,27.78,502.2
Andhra Pradesh,PRAKASAM,2014,Kharif,72.0,28.02,262.6
Andhra Pradesh,SRIKAKULAM,2008,Whole Year,76.76761451183638,27.89,1047.8999999999999
Andhra Pradesh,SRIKAKULAM,2009,Whole Year,71.41012909632572,28.43,874.3000000000001
Andhra Pradesh,SRIKAKULAM,2010,Whole Year,56.96001259445844,28.25,1700.5
Andhra Pradesh,SRIKAKULAM,2011,Whole Year,69.82320020351055,27.81,963.3
Andhra Pradesh,SRIKAKULAM,2012,Kharif,78.84619085805934,28.06,809.6999999999999
Andhra Pradesh,SRIKAKULAM,2013,Kharif,69.6610348468849,27.78,628.0
Andhra Pradesh,SRIKAKULAM,2014,Kharif,68.31420507996238,28.02,805.8
Andhra Pradesh,VIZIANAGARAM,2008,Whole Year,52.63805031446541,27.89,1069.3
Andhra Pradesh,VIZIANAGARAM,2009,Whole Year,50.89641467251801,28.43,1032.3999999999999
Andhra Pradesh,VIZIANAGARAM,2010,Whole Year,63.951472908995264,28.25,1647.9
Andhra Pradesh,VIZIANAGARAM,2011,Whole Year,65.2874266295953,27.81,1017.6000000000001
Andhra Pradesh,VIZIANAGARAM,2012,Kharif,62.214406092004246,28.06,752.9000000000001
Andhra Pradesh,VIZIANAGARAM,2013,Kharif,62.869065940570614,27.78,538.9
