State,District,Year,Season,Produce,Temperature,Rainfall
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi,4.4036697247706424,27.81,880.2
Andhra Pradesh,ANANTAPUR,2009,Whole Year,5.923076923076923,28.43,585.3
Andhra Pradesh,ANANTAPUR,2010,Whole Year,12.75,28.25,853.8000000000001
Andhra Pradesh,ANANTAPUR,2011,Whole Year,13.0,27.81,508.80000000000007
Andhra Pradesh,ANANTAPUR,2012,Rabi,9.571428571428571,28.06,141.7
Andhra Pradesh,ANANTAPUR,2013,Rabi,9.0,27.78,99.3
Andhra Pradesh,ANANTAPUR,2013,Whole Year,9.0,27.78,501.69999999999993
Andhra Pradesh,ANANTAPUR,2014,Rabi,11.0,28.02,139.5
Andhra Pradesh,CHITTOOR,2008,Whole Year,5.709090909090909,27.89,953.3000000000001
Andhra Pradesh,CHITTOOR,2009,Whole Year,5.893805309734513,28.43,754.3999999999999
Andhra Pradesh,CHITTOOR,2010,Whole Year,12.811715481171548,28.25,1079.5
Andhra Pradesh,CHITTOOR,2011,Whole Year,12.118055555555555,27.81,978.1
Andhra Pradesh,CHITTOOR,2012,Kharif,11.431818181818182,28.06,432.5
Andhra Pradesh,CHITTOOR,2012,Rabi,11.435483870967742,28.06,459.2
Andhra Pradesh,CHITTOOR,2013,Kharif,11.736842105263158,27.78,447.79999999999995
Andhra Pradesh,CHITTOOR,2013,Rabi,11.741935483870968,27.78,329.09999999999997
Andhra Pradesh,CHITTOOR,2013,Whole Year,11.74087591240876,27.78,855.9999999999999
Andhra Pradesh,CHITTOOR,2014,Rabi,11.285,28.02,218.79999999999998
Andhra Pradesh,EAST GODAVARI,2008,Whole Year,13.602409638554217,27.89,1123.5
Andhra Pradesh,EAST GODAVARI,2009,Whole Year,12.85,28.43,607.6999999999999
Andhra Pradesh,EAST GODAVARI,2010,Whole Year,12.795918367346939,28.25,1908.7999999999997
Andhra Pradesh,EAST GODAVARI,2011,Whole Year,12.857142857142858,27.81,854.6
Andhra Pradesh,EAST GODAVARI,2012,Kharif,9.666666666666666,28.06,934.1
Andhra Pradesh,EAST GODAVARI,2013,Kharif,8.772727272727273,27.78,472.69999999999993
Andhra Pradesh,EAST GODAVARI,2013,Rabi,8.75,27.78,569.1999999999999
Andhra Pradesh,EAST GODAVARI,2013,Whole Year,8.764705882352942,27.78,1120.2
Andhra Pradesh,EAST GODAVARI,2014,Rabi,11.030303030303031,28.02,118.5
Andhra Pradesh,GUNTUR,2008,Whole Year,13.619047619047619,27.89,964.4999999999999
Andhra Pradesh,GUNTUR,2009,Whole Year,12.866666666666667,28.43,643.6
Andhra Pradesh,GUNTUR,2010,Whole Year,12.785714285714286,28.25,1485.1
Andhra Pradesh,GUNTUR,2011,Whole Year,12.857142857142858,27.81,660.1999999999999
Andhra Pradesh,GUNTUR,2012,Rabi,9.666666666666666,28.06,394.79999999999995
Andhra Pradesh,GUNTUR,2014,Rabi,11.0,28.02,204.7
Andhra Pradesh,KRISHNA,2009,Whole Year,13.0,28.43,1642.8
Andhra Pradesh,KRISHNA,2010,Whole Year,13.0,28.25,2809.5000000000005
Andhra Pradesh,KRISHNA,2011,Whole Year,12.8,27.81,1775.3000000000002
Andhra Pradesh,KRISHNA,2012,Rabi,9.625,28.06,812.2
Andhra Pradesh,KRISHNA,2013,Rabi,8.777777777777779,27.78,786.5000000000001
Andhra Pradesh,KRISHNA,2013,Whole Year,8.777777777777779,27.78,2083.3
Andhra Pradesh,KRISHNA,2014,Rabi,11.0,28.02,446.6
Andhra Pradesh,KURNOOL,2008,Whole Year,5.714285714285714,27.89,708.6000000000001
Andhra Pradesh,KURNOOL,2009,Whole Year,5.891891891891892,28.43,767.8999999999999
Andhra Pradesh,KURNOOL,2010,Whole Year,12.833333333333334,28.25,823.2
Andhra Pradesh,KURNOOL,2011,Whole Year,12.853658536585366,27.81,482.1
Andhra Pradesh,PRAKASAM,2008,Whole Year,20.980392156862745,27.89,937.7
Andhra Pradesh,PRAKASAM,2009,Whole Year,19.25581395348837,28.43,635.1
Andhra Pradesh,PRAKASAM,2010,Whole Year,14.0,28.25,1402.9999999999998
Andhra Pradesh,PRAKASAM,2011,Whole Year,15.868686868686869,27.81,569.8000000000001
Andhra Pradesh,PRAKASAM,2012,Rabi,9.620689655172415,28.06,456.7
Andhra Pradesh,PRAKASAM,2013,Rabi,8.777777777777779,27.78,439.8
Andhra Pradesh,PRAKASAM,2013,Whole Year,8.777777777777779,27.78,986.2
Andhra Pradesh,PRAKASAM,2014,Rabi,14.31764705882353,28.02,201.1
Andhra Pradesh,SRIKAKULAM,2008,Whole Year,13.60377358490566,27.89,1047.8999999999999
Andhra Pradesh,SRIKAKULAM,2009,Whole Year,7.625,28.43,874.3000000000001
Andhra Pradesh,SRIKAKULAM,2010,Whole Year,12.82,28.25,1700.5
Andhra Pradesh,SRIKAKULAM,2011,Whole Year,12.85,27.81,963.3
Andhra Pradesh,SRIKAKULAM,2012,Kharif,9.608695652173912,28.06,809.6999999999999
Andhra Pradesh,SRIKAKULAM,2012,Rabi,9.666666666666666,28.06,394.40000000000003
Andhra Pradesh,SRIKAKULAM,2013,Kharif,8.76923076923077,27.78,628.0
Andhra Pradesh,SRIKAKULAM,2013,Whole Year,8.76923076923077,27.78,1421.9
Andhra Pradesh,VIZIANAGARAM,2008,Whole Year,13.6,27.89,1069.3
Andhra Pradesh,VIZIANAGARAM,2009,Whole Year,0.0,28.43,1032.3999999999999
Andhra Pradesh,VIZIANAGARAM,2010,Whole Year,12.8,28.25,1647.9
