State,District,Year,Season,Produce,Temperature,Rainfall
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Whole Year,7.265415549597855,27.81,3365.9
Andhra Pradesh,CHITTOOR,2008,Whole Year,12.333333333333334,27.89,953.3000000000001
Andhra Pradesh,CHITTOOR,2009,Whole Year,13.1,28.43,754.3999999999999
Andhra Pradesh,CHITTOOR,2010,Whole Year,6.6,28.25,1079.5
Andhra Pradesh,CHITTOOR,2011,Whole Year,10.0,27.81,978.1
Andhra Pradesh,EAST GODAVARI,2008,Whole Year,12.658975940777298,27.89,1123.5
Andhra Pradesh,EAST GODAVARI,2009,Whole Year,13.414955875522526,28.43,607.6999999999999
Andhra Pradesh,EAST GODAVARI,2010,Whole Year,6.624969736098781,28.25,1908.7999999999997
Andhra Pradesh,EAST GODAVARI,2011,Whole Year,9.986976445051853,27.81,854.6
Andhra Pradesh,EAST GODAVARI,2012,Kharif,18.413999823679802,28.06,934.1
Andhra Pradesh,EAST GODAVARI,2013,Kharif,18.414042184339785,27.78,472.69999999999993
Andhra Pradesh,SRIKAKULAM,2008,Whole Year,3.22,27.89,1047.8999999999999
Andhra Pradesh,SRIKAKULAM,2009,Whole Year,3.1343283582089554,28.43,874.3000000000001
Andhra Pradesh,SRIKAKULAM,2010,Whole Year,2.909090909090909,28.25,1700.5
Andhra Pradesh,SRIKAKULAM,2011,Whole Year,5.75,27.81,963.3
Andhra Pradesh,SRIKAKULAM,2012,Kharif,18.410714285714285,28.06,809.6999999999999
Andhra Pradesh,SRIKAKULAM,2013,Kharif,18.414634146341463,27.78,628.0
Andhra Pradesh,VIZIANAGARAM,2008,Whole Year,12.413793103448276,27.89,1069.3
Andhra Pradesh,VIZIANAGARAM,2009,Whole Year,13.0,28.43,1032.3999999999999
Andhra Pradesh,VIZIANAGARAM,2010,Whole Year,6.5625,28.25,1647.9
Andhra Pradesh,VIZIANAGARAM,2011,Whole Year,10.0,27.81,1017.6000000000001
Andhra Pradesh,VIZIANAGARAM,2012,Kharif,18.416666666666668,28.06,752.9000000000001
Andhra Pradesh,WEST GODAVARI,2008,Whole Year,12.418181818181818,27.89,1234.1000000000001
Andhra Pradesh,WEST GODAVARI,2009,Whole Year,13.055555555555555,28.43,753.1
Andhra Pradesh,WEST GODAVARI,2010,Whole Year,6.590361445783133,28.25,1900.7
Andhra Pradesh,WEST GODAVARI,2011,Whole Year,10.0,27.81,931.8
Andhra Pradesh,WEST GODAVARI,2012,Kharif,18.40963855421687,28.06,1041.9
Andhra Pradesh,WEST GODAVARI,2013,Kharif,18.413333333333334,27.78,550.8
Assam,BAKSA,2012,Kharif,8.983333333333333,23.05,2039.1
Assam,BAKSA,2013,Kharif,8.984375,23.14,969.0
Assam,BAKSA,2014,Kharif,8.984375,23.52,1415.5
Assam,BARPETA,2008,Whole Year,5.0,23.45,2800.8
Assam,BARPETA,2009,Whole Year,5.0,24.21,2471.9000000000005
Assam,BARPETA,2010,Whole Year,5.0,24.05,3296.6000000000004
Assam,BARPETA,2011,Kharif,8.214285714285714,23.53,1456.4
Assam,BARPETA,2012,Kharif,8.318181818181818,23.05,2274.2
Assam,BARPETA,2013,Kharif,8.31578947368421,23.14,1535.3
Assam,BARPETA,2014,Kharif,8.45,23.52,1976.6
Assam,BONGAIGAON,2008,Whole Year,4.26797385620915,23.45,3021.0
Assam,BONGAIGAON,2009,Whole Year,4.220338983050848,24.21,2485.1
Assam,BONGAIGAON,2010,Whole Year,4.22972972972973,24.05,3569.7000000000003
Assam,BONGAIGAON,2011,Kharif,9.371794871794872,23.53,1282.5
Assam,BONGAIGAON,2012,Kharif,9.679487179487179,23.05,2797.2999999999997
Assam,BONGAIGAON,2013,Kharif,9.67123287671233,23.14,1458.9
Assam,BONGAIGAON,2014,Kharif,9.575342465753424,23.52,2529.6000000000004
Assam,CACHAR,2008,Whole Year,4.290322580645161,23.45,2919.7000000000003
Assam,CACHAR,2009,Whole Year,4.3,24.21,2504.3999999999996
Assam,CACHAR,2010,Whole Year,4.3076923076923075,24.05,4093.9
Assam,CACHAR,2011,Kharif,8.35,23.53,1543.1
Assam,CACHAR,2012,Kharif,9.227272727272727,23.05,1867.1
Assam,CACHAR,2013,Kharif,9.217391304347826,23.14,1493.8999999999999
Assam,CACHAR,2014,Kharif,9.24,23.52,2048.8
Assam,CHIRANG,2010,Whole Year,4.347994825355757,24.05,2884.5
Assam,CHIRANG,2011,Kharif,4.850202429149798,23.53,1391.1999999999998
Assam,CHIRANG,2012,Kharif,5.049645390070922,23.05,2985.0
Assam,CHIRANG,2013,Kharif,5.048128342245989,23.14,1482.3999999999999
Assam,CHIRANG,2014,Kharif,5.048076923076923,23.52,3371.1000000000004
Assam,DARRANG,2008,Whole Year,3.8461538461538463,23.45,1756.4
Assam,DARRANG,2012,Kharif,14.0,23.05,540.0
Assam,DARRANG,2013,Kharif,8.5,23.14,340.0
Assam,DARRANG,2014,Kharif,4.5,23.52,962.0
Assam,DHEMAJI,2010,Whole Year,3.0357142857142856,24.05,0.0
Assam,DHEMAJI,2012,Kharif,5.645161290322581,23.05,1867.0
Assam,DHEMAJI,2013,Kharif,5.645161290322581,23.14,1254.0
Assam,DHEMAJI,2014,Kharif,5.645161290322581,23.52,1632.0
Assam,DHUBRI,2008,Whole Year,3.1375,23.45,1970.3
Assam,DHUBRI,2009,Whole Year,3.1923076923076925,24.21,1821.3999999999999
Assam,DHUBRI,2010,Whole Year,3.36,24.05,2531.7
Assam,DHUBRI,2011,Kharif,4.24,23.53,1278.0
Assam,DHUBRI,2012,Kharif,5.2727272727272725,23.05,2149.8999999999996
Assam,DHUBRI,2013,Kharif,5.2592592592592595,23.14,998.3
Assam,DHUBRI,2014,Kharif,5.2592592592592595,23.52,1736.2
Assam,DIBRUGARH,2008,Whole Year,4.083333333333333,23.45,2448.5000000000005
Assam,DIBRUGARH,2009,Whole Year,4.083333333333333,24.21,2183.1
Assam,DIBRUGARH,2010,Whole Year,4.0,24.05,2633.8999999999996
Assam,DIBRUGARH,2011,Kharif,10.0,23.53,1308.7999999999997
Assam,DIBRUGARH,2012,Kharif,10.125,23.05,1586.8
Assam,DIBRUGARH,2013,Kharif,10.11111111111111,23.14,1423.2
Assam,DIBRUGARH,2014,Kharif,10.11111111111111,23.52,1305.3000000000002
Assam,GOALPARA,2008,Whole Year,4.889473684210526,23.45,2756.9
Assam,GOALPARA,2009,Whole Year,4.610526315789474,24.21,2173.6
