State,District,Year,Season,Produce,Temperature,Rainfall
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi,0.43302501179801794,27.81,880.2
Andhra Pradesh,ANANTAPUR,2009,Kharif,0.3,28.43,364.99999999999994
Andhra Pradesh,ANANTAPUR,2009,Rabi,0.7647058823529411,28.43,136.5
Andhra Pradesh,ANANTAPUR,2010,Kharif,0.42857142857142855,28.25,431.70000000000005
Andhra Pradesh,ANANTAPUR,2010,Rabi,0.5348837209302325,28.25,268.8
Andhra Pradesh,ANANTAPUR,2011,Kharif,0.53125,27.81,286.4
Andhra Pradesh,ANANTAPUR,2011,Rabi,0.7017937219730942,27.81,111.39999999999999
Andhra Pradesh,ANANTAPUR,2012,Kharif,0.9354838709677419,28.06,292.0
Andhra Pradesh,ANANTAPUR,2012,Rabi,1.0196078431372548,28.06,141.7
Andhra Pradesh,ANANTAPUR,2013,Kharif,0.9375,27.78,351.0
Andhra Pradesh,ANANTAPUR,2013,Rabi,0.75,27.78,99.3
Andhra Pradesh,ANANTAPUR,2014,Kharif,1.324468085106383,28.02,213.5
Andhra Pradesh,ANANTAPUR,2014,Rabi,1.4523809523809523,28.02,139.5
Andhra Pradesh,CHITTOOR,2008,Kharif,0.36303630363036304,27.89,366.49999999999994
Andhra Pradesh,CHITTOOR,2008,Rabi,0.6702127659574468,27.89,505.2
Andhra Pradesh,CHITTOOR,2009,Kharif,0.2964169381107492,28.43,398.09999999999997
Andhra Pradesh,CHITTOOR,2009,Rabi,0.739938080495356,28.43,296.4
Andhra Pradesh,CHITTOOR,2010,Kharif,0.42269736842105265,28.25,530.1
Andhra Pradesh,CHITTOOR,2010,Rabi,0.5337477797513321,28.25,425.0
Andhra Pradesh,CHITTOOR,2011,Kharif,0.5335051546391752,27.81,507.09999999999997
Andhra Pradesh,CHITTOOR,2011,Rabi,0.7009493670886076,27.81,377.5
Andhra Pradesh,CHITTOOR,2012,Kharif,0.9440298507462687,28.06,432.5
