State,District,Year,Season,Produce,Temperature,Rainfall
Andhra Pradesh,ANANTAPUR,2008,Rabi,1.3231707317073171,27.89,316.5
Andhra Pradesh,ANANTAPUR,2009,Rabi,0.5418994413407822,28.43,136.5
Andhra Pradesh,ANANTAPUR,2010,Rabi,1.3053435114503817,28.25,268.8
Andhra Pradesh,ANANTAPUR,2011,Rabi,1.3333333333333333,27.81,111.39999999999999
Andhra Pradesh,ANANTAPUR,2012,Rabi,1.126865671641791,28.06,141.7
Andhra Pradesh,ANANTAPUR,2013,Rabi,0.6290322580645161,27.78,99.3
Andhra Pradesh,ANANTAPUR,2013,Whole Year,0.6290322580645161,27.78,501.69999999999993
Andhra Pradesh,GUNTUR,2010,Rabi,1.302325581395349,28.25,374.0
Andhra Pradesh,KURNOOL,2008,Rabi,0.5421686746987951,27.89,264.79999999999995
Andhra Pradesh,KURNOOL,2009,Rabi,0.45636363636363636,28.43,271.3
Andhra Pradesh,KURNOOL,2010,Rabi,1.4351687388987566,28.25,144.3
Andhra Pradesh,KURNOOL,2011,Rabi,1.0995475113122173,27.81,79.7
Andhra Pradesh,KURNOOL,2012,Rabi,1.3407643312101911,28.06,117.5
Andhra Pradesh,KURNOOL,2013,Rabi,0.7372262773722628,27.78,140.0
Andhra Pradesh,KURNOOL,2013,Whole Year,0.7372262773722628,27.78,703.4000000000001
Andhra Pradesh,KURNOOL,2014,Rabi,1.326086956521739,28.02,126.2
Arunachal Pradesh,ANJAW,2012,Rabi,1.5384615384615385,18.6,0.0
Arunachal Pradesh,ANJAW,2013,Rabi,1.5384615384615385,18.73,173.4
Arunachal Pradesh,CHANGLANG,2008,Rabi,2.0,18.68,66.8
Arunachal Pradesh,CHANGLANG,2009,Rabi,2.0210526315789474,19.51,210.1
Arunachal Pradesh,CHANGLANG,2010,Rabi,2.05,19.24,108.6
Arunachal Pradesh,CHANGLANG,2011,Rabi,2.267857142857143,18.84,47.6
Arunachal Pradesh,CHANGLANG,2012,Rabi,2.063973063973064,18.6,283.8
Arunachal Pradesh,CHANGLANG,2013,Rabi,1.8607142857142858,18.73,258.6
Arunachal Pradesh,CHANGLANG,2014,Rabi,2.3002680965147455,19.02,117.10000000000001
Arunachal Pradesh,EAST KAMENG,2008,Rabi,2.074074074074074,18.68,240.3
Arunachal Pradesh,EAST KAMENG,2009,Rabi,2.0357142857142856,19.51,101.10000000000001
Arunachal Pradesh,EAST KAMENG,2010,Rabi,2.096774193548387,19.24,79.4
Arunachal Pradesh,EAST KAMENG,2011,Rabi,2.3225806451612905,18.84,67.7
Arunachal Pradesh,EAST KAMENG,2012,Rabi,2.34375,18.6,110.30000000000001
