State,District,Year,Season,Produce,Temperature,Rainfall
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Whole Year,12.127853881278538,27.81,3365.9
Andhra Pradesh,ANANTAPUR,2008,Whole Year,44.66805439911185,27.89,867.1000000000001
Andhra Pradesh,ANANTAPUR,2009,Whole Year,53.09001996007984,28.43,585.3
Andhra Pradesh,ANANTAPUR,2010,Whole Year,50.685009057971016,28.25,853.8000000000001
Andhra Pradesh,ANANTAPUR,2011,Whole Year,63.147,27.81,508.80000000000007
Andhra Pradesh,ANANTAPUR,2013,Whole Year,55.86895277681561,27.78,501.69999999999993
Andhra Pradesh,CHITTOOR,2008,Whole Year,31.624293785310734,27.89,953.3000000000001
Andhra Pradesh,CHITTOOR,2009,Whole Year,53.08972691807542,28.43,754.3999999999999
Andhra Pradesh,CHITTOOR,2010,Whole Year,50.684723726977246,28.25,1079.5
Andhra Pradesh,CHITTOOR,2011,Whole Year,63.146726862302486,27.81,978.1
Andhra Pradesh,CHITTOOR,2013,Whole Year,55.168131868131866,27.78,855.9999999999999
Andhra Pradesh,EAST GODAVARI,2008,Whole Year,18.991993751220466,27.89,1123.5
Andhra Pradesh,EAST GODAVARI,2009,Whole Year,21.912989665202055,28.43,607.6999999999999
Andhra Pradesh,EAST GODAVARI,2010,Whole Year,27.324023124608207,28.25,1908.7999999999997
Andhra Pradesh,EAST GODAVARI,2011,Whole Year,22.21101321585903,27.81,854.6
Andhra Pradesh,EAST GODAVARI,2013,Whole Year,12.38199082642633,27.78,1120.2
Andhra Pradesh,GUNTUR,2008,Whole Year,31.703025910491032,27.89,964.4999999999999
Andhra Pradesh,GUNTUR,2009,Whole Year,23.653080934904384,28.43,643.6
Andhra Pradesh,GUNTUR,2010,Whole Year,30.048959365708622,28.25,1485.1
Andhra Pradesh,GUNTUR,2011,Whole Year,38.6609472743521,27.81,660.1999999999999
Andhra Pradesh,GUNTUR,2013,Whole Year,37.98600645855759,27.78,1161.5
Andhra Pradesh,KRISHNA,2008,Whole Year,27.341016949152543,27.89,2314.3999999999996
Andhra Pradesh,KRISHNA,2009,Whole Year,21.522058823529413,28.43,1642.8
Andhra Pradesh,KRISHNA,2010,Whole Year,23.103754266211602,28.25,2809.5000000000005
Andhra Pradesh,KRISHNA,2011,Whole Year,30.45508474576271,27.81,1775.3000000000002
Andhra Pradesh,KRISHNA,2013,Whole Year,36.127962085308056,27.78,2083.3
Andhra Pradesh,KURNOOL,2008,Whole Year,26.509205208801077,27.89,708.6000000000001
Andhra Pradesh,KURNOOL,2009,Whole Year,24.8260097647581,28.43,767.8999999999999
