State,District,Year,Season,Produce,Temperature,Rainfall
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi,5.536764705882353,27.81,880.2
Andhra Pradesh,ANANTAPUR,2008,Whole Year,10.0,27.89,867.1000000000001
Andhra Pradesh,ANANTAPUR,2010,Whole Year,7.846153846153846,28.25,853.8000000000001
Andhra Pradesh,ANANTAPUR,2011,Whole Year,8.2398753894081,27.81,508.80000000000007
Andhra Pradesh,ANANTAPUR,2012,Kharif,11.2,28.06,292.0
Andhra Pradesh,ANANTAPUR,2013,Kharif,12.326086956521738,27.78,351.0
Andhra Pradesh,CHITTOOR,2008,Whole Year,10.09375,27.89,953.3000000000001
Andhra Pradesh,CHITTOOR,2009,Whole Year,12.09375,28.43,754.3999999999999
Andhra Pradesh,CHITTOOR,2010,Whole Year,7.851063829787234,28.25,1079.5
Andhra Pradesh,CHITTOOR,2011,Whole Year,8.225806451612904,27.81,978.1
Andhra Pradesh,CHITTOOR,2012,Kharif,11.176470588235293,28.06,432.5
Andhra Pradesh,CHITTOOR,2013,Kharif,12.3125,27.78,447.79999999999995
Andhra Pradesh,EAST GODAVARI,2008,Whole Year,6.872659176029963,27.89,1123.5
Andhra Pradesh,EAST GODAVARI,2009,Whole Year,6.236363636363636,28.43,607.6999999999999
Andhra Pradesh,EAST GODAVARI,2010,Whole Year,6.106194690265487,28.25,1908.7999999999997
Andhra Pradesh,EAST GODAVARI,2011,Whole Year,7.506756756756757,27.81,854.6
Andhra Pradesh,EAST GODAVARI,2012,Kharif,6.622950819672131,28.06,934.1
Andhra Pradesh,EAST GODAVARI,2013,Kharif,6.660377358490566,27.78,472.69999999999993
Andhra Pradesh,GUNTUR,2008,Whole Year,6.908056440600819,27.89,964.4999999999999
Andhra Pradesh,GUNTUR,2009,Whole Year,5.166028911564626,28.43,643.6
Andhra Pradesh,GUNTUR,2010,Whole Year,6.4709033807500465,28.25,1485.1
Andhra Pradesh,GUNTUR,2011,Whole Year,7.819953513320222,27.81,660.1999999999999
Andhra Pradesh,GUNTUR,2012,Kharif,6.522042689008578,28.06,590.2
Andhra Pradesh,GUNTUR,2013,Kharif,6.985974222896133,27.78,607.6
Andhra Pradesh,KRISHNA,2008,Whole Year,10.71284501061571,27.89,2314.3999999999996
